key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1089-134686-0033_1320-122612-0001__T2__NBASIC__1320,1320,1089,5,24.757372751005306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0034_5639-40744-0005__T1__NBASIC__1089,1089,5639,10,27.00225783370498,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0034_5639-40744-0005__T2__NBASIC__5639,5639,1089,10,32.32459440691863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0035_2300-131720-0025__T1__NBASIC__1089,1089,2300,5,20.51758044410116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0035_2300-131720-0025__T2__NBASIC__2300,2300,1089,5,25.89501877851055,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,1,0,1,0,1,0,1,0
1089-134686-0036_6930-75918-0008__T1__NBASIC__1089,1089,6930,5,32.66924040270618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0036_6930-75918-0008__T2__NBASIC__6930,6930,1089,5,36.190832126142865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0037_4446-2271-0000__T1__NBASIC__1089,1089,4446,5,34.3713841168798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0037_4446-2271-0000__T2__NBASIC__4446,4446,1089,5,31.4907386844025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0002_8455-210777-0005__T1__NBASIC__1089,1089,8455,10,32.514589680931714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0002_8455-210777-0005__T2__NBASIC__8455,8455,1089,10,-16.123908084970747,1.0,0.5,0.6,0.6,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1
1089-134691-0006_4446-2275-0012__T1__NBASIC__1089,1089,4446,10,38.51526050186588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0006_4446-2275-0012__T2__NBASIC__4446,4446,1089,10,36.06712338544549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0013_4992-23283-0007__T1__NBASIC__1089,1089,4992,7,34.14267152736082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0013_4992-23283-0007__T2__NBASIC__4992,4992,1089,7,41.52932476632287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0014_237-134500-0012__T1__NBASIC__1089,1089,237,8,38.00222458181037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
