category,n,rate,usef_sisnri_mean,tfc_sisnri_mean,usef_drift_mean,tfc_drift_mean
usef_low_high_drift__tfc_not,525,0.08773395721925134,-32.21119501372542,15.212782551614247,0.8950042885841207,0.0025932321646607356
tfc_low_high_drift__usef_not,110,0.01838235294117647,16.668984963153726,-23.7874465436692,0.005489510489510489,0.8714710341648845
both_low_high_drift,140,0.02339572192513369,-36.094091494883415,-29.488942203301818,0.9214316833959691,0.9277707907172194
neither_low_high_drift,5209,0.8704879679144385,18.44080688658071,17.190547581961898,0.001198177248539827,0.00042165551860310924
usef_good_high_drift,0,0.0,,,,
tfc_good_high_drift,0,0.0,,,,
usef_low_tfc_good,499,0.08338903743315508,-31.24912722579714,16.181076107245378,0.8611082255886874,0.0
tfc_low_usef_good,100,0.016711229946524065,18.567463855298183,-22.896182646192784,0.0,0.8333406650539003
usef_highdrift_tfc_clean,531,0.08873663101604277,-31.58217531372835,15.320862779281603,0.8846887228326245,0.000774852893496961
tfc_highdrift_usef_clean,115,0.019217914438502674,16.541016365334904,-22.454796602160485,0.004753941710463448,0.8387431700155485
