key,usef_sisnri,tfc_sisnri,tfc_sisdr,usef_drift_rate,tfc_drift_rate,usef_low_sisnri,usef_good_sisnri,usef_high_drift,usef_any_drift,usef_low_high_drift,usef_good_high_drift,tfc_low_sisnri,tfc_good_sisnri,tfc_high_drift,tfc_any_drift,tfc_low_high_drift,tfc_good_high_drift
1089-134686-0007_8455-210777-0052__T1__SCV3TTSENR__1089-1089-134686-0007__VOICE__8455,17.792864346027756,15.692475617354784,19.40308613763697,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0007_8455-210777-0052__T2__SCV3TTSENR__8455-8455-210777-0052__VOICE__1089,21.661426835261423,19.64598839841613,16.225893268139334,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0008_672-122797-0007__T1__SCV3TTSENR__1089-1089-134686-0008__VOICE__672,17.719670153328504,17.041224628193564,18.6114373115208,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0008_672-122797-0007__T2__SCV3TTSENR__672-672-122797-0007__VOICE__1089,19.5998859647042,-20.83666215237039,-22.438659425673944,0.0,0.8181818181818182,False,True,False,False,False,False,True,False,True,True,True,False
1089-134686-0008_8230-279154-0012__T1__SCV3TTSENR__1089-1089-134686-0008__VOICE__8230,21.514103242515333,16.847272797808806,17.161254760464885,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0008_8230-279154-0012__T2__SCV3TTSENR__8230-8230-279154-0012__VOICE__1089,21.26664881222002,-23.82658038155097,-24.15247126310945,0.0,0.8333333333333334,False,True,False,False,False,False,True,False,True,True,True,False
1089-134686-0010_4507-16021-0023__T1__SCV3TTSENR__1089-1089-134686-0010__VOICE__4507,22.58603263542937,18.57827169451979,22.00868081269792,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0010_4507-16021-0023__T2__SCV3TTSENR__4507-4507-16021-0023__VOICE__1089,25.979143088106127,21.44839013338213,18.19265544483499,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0011_1320-122612-0004__T1__SCV3TTSENR__1089-1089-134686-0011__VOICE__1320,25.164129576929017,19.934198103994227,14.540574501365963,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0011_1320-122612-0004__T2__SCV3TTSENR__1320-1320-122612-0004__VOICE__1089,19.840299741929627,14.912192084482568,20.64879839914014,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0013_3570-5695-0000__T1__SCV3TTSENR__1089-1089-134686-0013__VOICE__3570,23.6877970699194,19.980711461218164,18.566902440554315,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0013_3570-5695-0000__T2__SCV3TTSENR__3570-3570-5695-0000__VOICE__1089,22.31666211342995,18.899657326425512,20.324714517455263,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0013_7127-75946-0007__T1__SCV3TTSENR__1089-1089-134686-0013__VOICE__7127,12.66586701829431,10.59873003702236,14.06205824248821,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0013_7127-75946-0007__T2__SCV3TTSENR__7127-7127-75946-0007__VOICE__1089,16.871623416468758,14.3688374091134,11.159160384866428,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0015_4970-29093-0003__T1__SCV3TTSENR__1089-1089-134686-0015__VOICE__4970,21.476095112091787,18.16893584341238,24.565654837565525,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0015_4970-29093-0003__T2__SCV3TTSENR__4970-4970-29093-0003__VOICE__1089,28.321571005802475,24.459697561731275,18.036226583962765,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0015_5142-33396-0067__T1__SCV3TTSENR__1089-1089-134686-0015__VOICE__5142,23.506077389836364,17.487440963155645,21.46943426346369,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0015_5142-33396-0067__T2__SCV3TTSENR__5142-5142-33396-0067__VOICE__1089,27.555894438528007,21.50997484816193,17.583125939181798,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0016_672-122797-0004__T1__SCV3TTSENR__1089-1089-134686-0016__VOICE__672,18.10460309316404,14.426978377195256,19.655865345116784,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0016_672-122797-0004__T2__SCV3TTSENR__672-672-122797-0004__VOICE__1089,23.42556300012383,19.40393193320429,14.283636552393002,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0017_1580-141084-0045__T1__SCV3TTSENR__1089-1089-134686-0017__VOICE__1580,22.3728989106685,16.605368210305407,18.60908221406314,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0017_1580-141084-0045__T2__SCV3TTSENR__1580-1580-141084-0045__VOICE__1089,24.54584797839549,18.27351301174191,16.312774035494478,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0019_5142-33396-0021__T1__SCV3TTSENR__1089-1089-134686-0019__VOICE__5142,20.959006929519,14.75003262975454,21.736081515700143,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0019_5142-33396-0021__T2__SCV3TTSENR__5142-5142-33396-0021__VOICE__1089,28.25648723590213,21.440868025545623,14.401322806654838,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0021_4992-41797-0018__T1__SCV3TTSENR__1089-1089-134686-0021__VOICE__4992,21.090385639283888,19.483215140245804,18.716877055199653,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0021_4992-41797-0018__T2__SCV3TTSENR__4992-4992-41797-0018__VOICE__1089,20.49458822130053,18.821320034697663,19.5499286676438,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0022_1580-141083-0044__T1__SCV3TTSENR__1089-1089-134686-0022__VOICE__1580,22.91880324152245,19.645904771444112,19.23986350167153,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0022_1580-141083-0044__T2__SCV3TTSENR__1580-1580-141083-0044__VOICE__1089,22.9439939555804,18.980543182889573,19.50873388208035,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0022_8455-210777-0023__T1__SCV3TTSENR__1089-1089-134686-0022__VOICE__8455,19.95462047297029,16.83396009670436,17.644048480516396,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0022_8455-210777-0023__T2__SCV3TTSENR__8455-8455-210777-0023__VOICE__1089,20.921398746068668,18.058564181710963,17.24264342143699,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0023_6829-68771-0020__T1__SCV3TTSENR__1089-1089-134686-0023__VOICE__6829,21.323812725226784,17.815681120864404,19.498528612169235,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0023_6829-68771-0020__T2__SCV3TTSENR__6829-6829-68771-0020__VOICE__1089,22.761138211041256,19.32927243179584,17.526296027399212,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0024_1995-1836-0013__T1__SCV3TTSENR__1089-1089-134686-0024__VOICE__1995,26.78939614128704,22.163154491283848,19.452294733056267,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0024_1995-1836-0013__T2__SCV3TTSENR__1995-1995-1836-0013__VOICE__1089,23.67626381887205,19.69603273677705,22.261406499178378,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0024_5683-32865-0016__T1__SCV3TTSENR__1089-1089-134686-0024__VOICE__5683,21.161751690089257,17.299661593012686,21.58041658353483,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0024_5683-32865-0016__T2__SCV3TTSENR__5683-5683-32865-0016__VOICE__1089,25.69552985079908,21.878382534423,17.170627653072795,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0024_7176-92135-0042__T1__SCV3TTSENR__1089-1089-134686-0024__VOICE__7176,24.037605716942625,19.84984201632684,12.710779638340506,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0024_7176-92135-0042__T2__SCV3TTSENR__7176-7176-92135-0042__VOICE__1089,15.745828818730685,12.91191861806615,19.908946405704413,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
