cue,condition,n,unique_keys,mixture_si_snr_mean,mixture_si_snr_median,mixture_si_snr_p10,mixture_si_snr_p25,mixture_si_snr_p75,mixture_si_snr_p90,output_si_snr_mean,output_si_snr_median,output_si_snr_p10,output_si_snr_p25,output_si_snr_p75,output_si_snr_p90,si_snri_mean,si_snri_median,si_snri_p10,si_snri_p25,si_snri_p75,si_snri_p90,si_snri_lt0_rate,output_si_snr_lt0_rate
USEF,sir0db,6000,6000,-9.504361536213057e-05,0.002444635242089788,-0.09971323029049796,-0.04765099187865325,0.04610015351252393,0.10274490761330272,9.457659619559944,10.828049904330815,4.299922525796588,8.55255903217395,12.317489504241342,13.435943377554597,9.457754663175306,10.817705131057092,4.33043163447075,8.582641294974298,12.303551101095726,13.423759723897504,0.048666666666666664,0.0485
TFMap,sir0db,6000,6000,-9.504361536213057e-05,0.002444635242089788,-0.09971323029049796,-0.04765099187865325,0.04610015351252393,0.10274490761330272,6.224102229515173,7.936487725490608,-1.6284478458888567,3.943380999157025,10.570858210944662,12.19205382842467,6.224197273130534,7.9409468966360395,-1.665237760695493,3.9710407604816824,10.569002800720266,12.187355502590863,0.12766666666666668,0.12766666666666668
CONTEXT,sir0db,6000,6000,-9.504361536213057e-05,0.002444635242089788,-0.09971323029049796,-0.04765099187865325,0.04610015351252393,0.10274490761330272,6.194996458669077,9.115632325193191,-6.083095589383197,3.6544009735470846,11.93479978318294,13.393768723212634,6.195091502284437,9.11224348663102,-6.135653436290876,3.666165849740787,11.944731350571253,13.379352868735207,0.1625,0.16233333333333333
USEF,sirm3db,6000,6000,-3.000064043583447,-2.9962374520849098,-3.1391909865623657,-3.066594389383926,-2.9347390894186547,-2.855973711117881,8.045818928016143,9.263320712395476,3.1531958414491474,7.233959957769662,10.7146036907821,11.894968854670607,11.04588297159959,12.25523179855951,6.177365376236941,10.25118305767316,13.700584873721336,14.873385880731387,0.03866666666666667,0.059333333333333335
TFMap,sirm3db,6000,6000,-3.000064043583447,-2.9962374520849098,-3.1391909865623657,-3.066594389383926,-2.9347390894186547,-2.855973711117881,4.476488604170239,6.658174863044623,-4.826798272056694,2.0888828060714086,9.044769940634247,10.577160004247224,7.476552647753687,9.671537644066454,-1.8243573788145868,5.074618691137696,12.041745099820552,13.562007360774944,0.12833333333333333,0.19216666666666668
CONTEXT,sirm3db,6000,6000,-3.000064043583447,-2.9962374520849098,-3.1391909865623657,-3.066594389383926,-2.9347390894186547,-2.855973711117881,4.559648449161162,8.140917809308974,-9.755950392452865,1.7942217681851016,10.447727198508503,11.825244745798967,7.55971249274461,11.130645443248639,-6.709646531167753,4.722936301736955,13.452960440829857,14.810921376147515,0.1655,0.21416666666666667
USEF,sirm5db,6000,6000,-5.000170890652221,-4.995596657896639,-5.1752863002259755,-5.08486027552007,-4.916313317277286,-4.819211985648893,7.150916096623524,8.284391180208932,2.7952923033588855,6.41352712351455,9.697232402204456,10.851492026587774,12.151086987275745,13.272274435349097,7.7276080881037075,11.440397021327183,14.692736938071981,15.838158156939869,0.034333333333333334,0.065
TFMap,sirm5db,6000,6000,-5.000170890652221,-4.995596657896639,-5.1752863002259755,-5.08486027552007,-4.916313317277286,-4.819211985648893,3.3688391049296538,6.0570103481883475,-7.420452962181609,1.2127738497200538,8.17777889341411,9.624650972696296,8.369009995581875,11.059128889515287,-2.435454227623939,6.204389279636766,13.173066492622374,14.601182641966329,0.1315,0.22416666666666665
CONTEXT,sirm5db,6000,6000,-5.000170890652221,-4.995596657896639,-5.1752863002259755,-5.08486027552007,-4.916313317277286,-4.819211985648893,3.321053425746004,7.352325620302631,-12.891555180950176,0.40903334642713524,9.521934747028538,10.818335087004913,8.321224316398226,12.358759651457307,-7.824958287037668,5.414044308738222,14.504786197791876,15.810261116498962,0.1755,0.243
