key,mix_path,target_path,aux_path,est_path,sample_rate,num_samples,sisnr_mix,sisnr_est,sisnr_i
1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0012__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0012__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0012__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0012__SIR0.wav,8000,29120,-0.0695770437787014,22.249143146261904,22.318720190040604
1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV2__237-237-134493-0004__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV2__237-237-134493-0004__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV2__237-237-134493-0004__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/121/121726/121-121726-0001.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV2__237-237-134493-0004__SIR0.wav,8000,54592,-0.6425810833905352,21.01577255201573,21.65835363540626
1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0006__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0006__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0006__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0006__SIR0.wav,8000,60032,0.0078724465826027,22.307848397903072,22.29997595132047
1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV2__672-672-122797-0071__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV2__672-672-122797-0071__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV2__672-672-122797-0071__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/260/123440/260-123440-0019.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV2__672-672-122797-0071__SIR0.wav,8000,39104,0.4623903784129413,19.440627581962254,18.978237203549316
1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0010__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0010__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0010__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0010__SIR0.wav,8000,83456,-0.0949711757630354,21.81862586073627,21.913597036499304
1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV2__8230-8230-279154-0028__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV2__8230-8230-279154-0028__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV2__8230-8230-279154-0028__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/61/70970/61-70970-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV2__8230-8230-279154-0028__SIR0.wav,8000,38144,-0.0043971833336965,19.36392114067192,19.368318324005617
1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV2__8230-8230-279154-0039__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV2__8230-8230-279154-0039__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV2__8230-8230-279154-0039__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV2__8230-8230-279154-0039__SIR0.wav,8000,36672,-0.095700339986289,21.965329252701032,22.061029592687323
1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV2__7176-7176-92135-0005__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV2__7176-7176-92135-0005__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV2__7176-7176-92135-0005__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/7729/102255/7729-102255-0023.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV2__7176-7176-92135-0005__SIR0.wav,8000,43712,-0.2021270763115877,17.28824943842721,17.4903765147388
1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0022__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0022__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0022__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0022__SIR0.wav,8000,41664,0.1459615257194325,24.003429348380703,23.85746782266127
1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV2__4446-4446-2273-0029__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/mix_clean/1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV2__4446-4446-2273-0029__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v2_sir0db/test/s1/1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV2__4446-4446-2273-0029__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1284/1181/1284-1181-0013.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v2_20260605/bundles/pretrained_usef_tfgridnet_hsimv2_sir0db/full_infer/est_wavs/1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV2__4446-4446-2273-0029__SIR0.wav,8000,26112,1.5579974479383654,20.47069856215316,18.912701114214794
