key,mix_path,target_path,aux_path,est_path,sample_rate,num_samples,sisnr_mix,sisnr_est,sisnr_i
1089-134686-0004_6829-68771-0005__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0004_6829-68771-0005__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0004_6829-68771-0005__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0004_6829-68771-0005__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIR0.wav,8000,36672,0.0136055061640922,25.37919635262844,25.365590846464347
1089-134686-0004_6829-68771-0005__T2__6829-6829-68771-0005__HSIMV3__4970-4970-29093-0022__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0004_6829-68771-0005__T2__6829-6829-68771-0005__HSIMV3__4970-4970-29093-0022__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0004_6829-68771-0005__T2__6829-6829-68771-0005__HSIMV3__4970-4970-29093-0022__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/6829/68771/6829-68771-0029.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0004_6829-68771-0005__T2__6829-6829-68771-0005__HSIMV3__4970-4970-29093-0022__SIR0.wav,8000,49280,-0.1393369094487506,20.115551936598465,20.254888846047216
1089-134686-0004_8463-294828-0016__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0004_8463-294828-0016__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0004_8463-294828-0016__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0004_8463-294828-0016__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIR0.wav,8000,36672,0.0136055061640922,25.379196267390075,25.36559076122598
1089-134686-0004_8463-294828-0016__T2__8463-8463-294828-0016__HSIMV3__4992-4992-23283-0002__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0004_8463-294828-0016__T2__8463-8463-294828-0016__HSIMV3__4992-4992-23283-0002__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0004_8463-294828-0016__T2__8463-8463-294828-0016__HSIMV3__4992-4992-23283-0002__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/8463/294828/8463-294828-0003.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0004_8463-294828-0016__T2__8463-8463-294828-0016__HSIMV3__4992-4992-23283-0002__SIR0.wav,8000,24960,-0.4115502880651078,17.793881772088163,18.20543206015327
1089-134686-0005_7176-92135-0020__T1__1089-1089-134686-0005__HSIMV3__8230-8230-279154-0026__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0005_7176-92135-0020__T1__1089-1089-134686-0005__HSIMV3__8230-8230-279154-0026__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0005_7176-92135-0020__T1__1089-1089-134686-0005__HSIMV3__8230-8230-279154-0026__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0005_7176-92135-0020__T1__1089-1089-134686-0005__HSIMV3__8230-8230-279154-0026__SIR0.wav,8000,74368,0.0754547812608529,22.97324277616246,22.89778799490161
1089-134686-0005_7176-92135-0020__T2__7176-7176-92135-0020__HSIMV3__61-61-70970-0024__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0005_7176-92135-0020__T2__7176-7176-92135-0020__HSIMV3__61-61-70970-0024__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0005_7176-92135-0020__T2__7176-7176-92135-0020__HSIMV3__61-61-70970-0024__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/7176/88083/7176-88083-0024.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0005_7176-92135-0020__T2__7176-7176-92135-0020__HSIMV3__61-61-70970-0024__SIR0.wav,8000,57280,0.0140586405019487,19.967001947680817,19.952943307178867
1089-134686-0006_1580-141083-0022__T1__1089-1089-134686-0006__HSIMV3__8230-8230-279154-0016__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0006_1580-141083-0022__T1__1089-1089-134686-0006__HSIMV3__8230-8230-279154-0016__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0006_1580-141083-0022__T1__1089-1089-134686-0006__HSIMV3__8230-8230-279154-0016__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0006_1580-141083-0022__T1__1089-1089-134686-0006__HSIMV3__8230-8230-279154-0016__SIR0.wav,8000,84416,0.0402906200915117,22.48792495847605,22.44763433838454
1089-134686-0006_1580-141083-0022__T2__1580-1580-141083-0022__HSIMV3__237-237-134500-0003__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0006_1580-141083-0022__T2__1580-1580-141083-0022__HSIMV3__237-237-134500-0003__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0006_1580-141083-0022__T2__1580-1580-141083-0022__HSIMV3__237-237-134500-0003__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1580/141083/1580-141083-0006.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0006_1580-141083-0022__T2__1580-1580-141083-0022__HSIMV3__237-237-134500-0003__SIR0.wav,8000,25344,-0.0800490464976179,22.20847152308401,22.288520569581628
1089-134686-0006_4446-2271-0018__T1__1089-1089-134686-0006__HSIMV3__8230-8230-279154-0016__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0006_4446-2271-0018__T1__1089-1089-134686-0006__HSIMV3__8230-8230-279154-0016__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0006_4446-2271-0018__T1__1089-1089-134686-0006__HSIMV3__8230-8230-279154-0016__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0006_4446-2271-0018__T1__1089-1089-134686-0006__HSIMV3__8230-8230-279154-0016__SIR0.wav,8000,84416,0.0402906200915117,22.487924919110007,22.447634299018496
1089-134686-0006_4446-2271-0018__T2__4446-4446-2271-0018__HSIMV3__1284-1284-1180-0032__SIR0,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/mix_clean/1089-134686-0006_4446-2271-0018__T2__4446-4446-2271-0018__HSIMV3__1284-1284-1180-0032__SIR0.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sir0db/test/s1/1089-134686-0006_4446-2271-0018__T2__4446-4446-2271-0018__HSIMV3__1284-1284-1180-0032__SIR0.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/4446/2273/4446-2273-0008.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_hard_simspk_v3_20260605/bundles/pretrained_usef_tfgridnet_hsimv3_sir0db/full_infer/est_wavs/1089-134686-0006_4446-2271-0018__T2__4446-4446-2271-0018__HSIMV3__1284-1284-1180-0032__SIR0.wav,8000,45696,-0.1680791640651573,-39.99861205041561,-39.83053288635045
