key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0007_8455-210777-0052__T2__SCV3FIX__VOICE-8455_CONTENT-1089-1089-134686-0007,8455,1089,6,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,23.32734458341928,11.68
1089-134686-0008_672-122797-0007__T1__SCV3FIX__VOICE-1089_CONTENT-672-672-122797-0007,1089,672,11,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.36363636363636365,-10.505050275036053,-9.59
1089-134686-0008_672-122797-0007__T2__SCV3FIX__VOICE-672_CONTENT-1089-1089-134686-0008,672,1089,11,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.6363636363636364,-6.8873438024794496,-2.76
1089-134686-0008_8230-279154-0012__T1__SCV3FIX__VOICE-1089_CONTENT-8230-8230-279154-0012,1089,8230,6,0.3333333333333333,0.6666666666666666,0.5,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,3.211925575415593,-0.26
1089-134686-0008_8230-279154-0012__T2__SCV3FIX__VOICE-8230_CONTENT-1089-1089-134686-0008,8230,1089,6,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,27.303729544036987,8.76
1089-134686-0010_4507-16021-0023__T1__SCV3FIX__VOICE-1089_CONTENT-4507-4507-16021-0023,1089,4507,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.52188717069727,12.8
1089-134686-0010_4507-16021-0023__T2__SCV3FIX__VOICE-4507_CONTENT-1089-1089-134686-0010,4507,1089,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,8.848835944977134,6.38
1089-134686-0011_1320-122612-0004__T1__SCV3FIX__VOICE-1089_CONTENT-1320-1320-122612-0004,1089,1320,11,1.0,1.0,0.6363636363636364,0.9090909090909091,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,-22.96675540321232,-6.61
1089-134686-0013_3570-5695-0000__T1__SCV3FIX__VOICE-1089_CONTENT-3570-3570-5695-0000,1089,3570,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.24896551718895,14.49
1089-134686-0013_3570-5695-0000__T2__SCV3FIX__VOICE-3570_CONTENT-1089-1089-134686-0013,3570,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.55993077527886,10.98
1089-134686-0013_7127-75946-0007__T1__SCV3FIX__VOICE-1089_CONTENT-7127-7127-75946-0007,1089,7127,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,25.21046761615549,5.44
