key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0008_672-122797-0007__T2__SCV3FIX__VOICE-672_CONTENT-1089-1089-134686-0008,672,1089,11,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,54.23605525745027,18.682172942072384
1089-134686-0008_8230-279154-0012__T1__SCV3FIX__VOICE-1089_CONTENT-8230-8230-279154-0012,1089,8230,6,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,51.46631132407296,16.78065613438278
1089-134686-0008_8230-279154-0012__T2__SCV3FIX__VOICE-8230_CONTENT-1089-1089-134686-0008,8230,1089,6,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,49.24658252911789,16.161034369934658
1089-134686-0010_4507-16021-0023__T1__SCV3FIX__VOICE-1089_CONTENT-4507-4507-16021-0023,1089,4507,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.31289350126309,18.565295066297946
1089-134686-0010_4507-16021-0023__T2__SCV3FIX__VOICE-4507_CONTENT-1089-1089-134686-0010,4507,1089,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.86543476933549,21.66333573245596
1089-134686-0011_1320-122612-0004__T1__SCV3FIX__VOICE-1089_CONTENT-1320-1320-122612-0004,1089,1320,11,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,48.96650959487174,20.098048737822573
1089-134686-0013_3570-5695-0000__T1__SCV3FIX__VOICE-1089_CONTENT-3570-3570-5695-0000,1089,3570,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.79465597868435,20.053008941017094
1089-134686-0013_3570-5695-0000__T2__SCV3FIX__VOICE-3570_CONTENT-1089-1089-134686-0013,3570,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.99196316853235,19.02354746993939
1089-134686-0013_7127-75946-0007__T1__SCV3FIX__VOICE-1089_CONTENT-7127-7127-75946-0007,1089,7127,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.52209156542613,10.359552463602968
1089-134686-0013_7127-75946-0007__T2__SCV3FIX__VOICE-7127_CONTENT-1089-1089-134686-0013,7127,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.216925258458815,14.438513862741146
1089-134686-0015_4970-29093-0003__T2__SCV3FIX__VOICE-4970_CONTENT-1089-1089-134686-0015,4970,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.98988159683614,24.58849496207492
1089-134686-0015_5142-33396-0067__T1__SCV3FIX__VOICE-1089_CONTENT-5142-5142-33396-0067,1089,5142,10,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,62.59772166987657,17.542289331205204
