key,mix_path,target_path,interferer_path,aux_path,est_path,sample_rate,num_samples,si_snr_mix,si_snr_est,si_snri,si_sdr_mix,si_sdr_est,si_sdri,error
1089-134686-0004_6829-68771-0005__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0004_6829-68771-0005.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0004_6829-68771-0005.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0004_6829-68771-0005.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0004_6829-68771-0005__T1__NORMAL__1089.wav,16000,83328,-5.34629781209921,12.848844867667712,18.19514267976692,-5.34629781209921,12.848844867667712,18.19514267976692,
1089-134686-0004_6829-68771-0005__T2__NORMAL__6829,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0004_6829-68771-0005.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0004_6829-68771-0005.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0004_6829-68771-0005.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/6829/68769/6829-68769-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0004_6829-68771-0005__T2__NORMAL__6829.wav,16000,83328,5.747851026739732,18.605235319754648,12.857384293014915,5.747851026739732,18.605235319754648,12.857384293014915,
1089-134686-0004_8463-294828-0016__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0004_8463-294828-0016.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0004_8463-294828-0016.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0004_8463-294828-0016.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0004_8463-294828-0016__T1__NORMAL__1089.wav,16000,52608,-1.8967148180001017,18.133873038538603,20.030587856538705,-1.8967148180001017,18.133873038538603,20.030587856538705,
1089-134686-0004_8463-294828-0016__T2__NORMAL__8463,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0004_8463-294828-0016.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0004_8463-294828-0016.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0004_8463-294828-0016.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/8463/287645/8463-287645-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0004_8463-294828-0016__T2__NORMAL__8463.wav,16000,52608,1.7306651921739804,19.913104222334404,18.182439030160424,1.7306651921739804,19.913104222334404,18.182439030160424,
1089-134686-0005_7176-92135-0020__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0005_7176-92135-0020.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0005_7176-92135-0020.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0005_7176-92135-0020.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0005_7176-92135-0020__T1__NORMAL__1089.wav,16000,114560,-1.656792384714532,17.81936038866896,19.476152773383493,-1.656792384714532,17.81936038866896,19.476152773383493,
1089-134686-0005_7176-92135-0020__T2__NORMAL__7176,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0005_7176-92135-0020.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0005_7176-92135-0020.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0005_7176-92135-0020.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/7176/88083/7176-88083-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0005_7176-92135-0020__T2__NORMAL__7176.wav,16000,114560,1.767834218425504,19.62825096716172,17.860416748736213,1.767834218425504,19.62825096716172,17.860416748736213,
1089-134686-0006_1580-141083-0022__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0006_1580-141083-0022.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0006_1580-141083-0022.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0006_1580-141083-0022.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0006_1580-141083-0022__T1__NORMAL__1089.wav,16000,52608,3.3962458346815465,21.600409315187477,18.20416348050593,3.3962458346815465,21.600409315187477,18.20416348050593,
1089-134686-0006_1580-141083-0022__T2__NORMAL__1580,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0006_1580-141083-0022.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0006_1580-141083-0022.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0006_1580-141083-0022.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1580/141083/1580-141083-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0006_1580-141083-0022__T2__NORMAL__1580.wav,16000,52608,-3.85645210607213,17.69472993173373,21.55118203780586,-3.85645210607213,17.69472993173373,21.55118203780586,
1089-134686-0006_4446-2271-0018__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0006_4446-2271-0018.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0006_4446-2271-0018.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0006_4446-2271-0018.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0006_4446-2271-0018__T1__NORMAL__1089.wav,16000,91392,1.2425979523881256,19.925746397061364,18.68314844467324,1.2425979523881256,19.925746397061364,18.68314844467324,
1089-134686-0006_4446-2271-0018__T2__NORMAL__4446,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0006_4446-2271-0018.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0006_4446-2271-0018.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0006_4446-2271-0018.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/4446/2271/4446-2271-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_normal_easy/full_infer/est_wavs/1089-134686-0006_4446-2271-0018__T2__NORMAL__4446.wav,16000,91392,-1.0822078985423724,18.83152668114513,19.913734579687503,-1.0822078985423724,18.83152668114513,19.913734579687503,
