key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
4992-41806-0016_8230-279154-0023__T2__8230-8230-279154-0023__HSIMV3__61-61-70970-0000__SIRm3,8230,61,11,0.0,0.09090909090909091,0.0,0.0,0.0,31.83800308130685,12.472455228064929
8555-284447-0001_4077-13751-0003__T1__8555-8555-284447-0001__HSIMV3__4970-4970-29095-0038__SIRm3,8555,4970,16,0.0,0.0,0.0,0.0,0.0,34.48258511159855,14.208604082390217
8555-284447-0001_4077-13751-0003__T2__4077-4077-13751-0003__HSIMV3__8455-8455-210777-0022__SIRm3,4077,8455,31,0.0,0.03225806451612903,0.0,0.0,0.0,30.709153456007048,12.740578248845852
260-123286-0015_237-134493-0001__T1__260-260-123286-0015__HSIMV3__672-672-122797-0034__SIRm3,260,672,9,0.0,0.1111111111111111,0.0,0.0,0.0,29.488281887802025,11.291878061550165
260-123286-0015_237-134493-0001__T2__237-237-134493-0001__HSIMV3__5683-5683-32879-0018__SIRm3,237,5683,13,0.0,0.0,0.0,0.0,0.0,35.36146478196008,13.50142361210045
1580-141083-0006_7176-88083-0024__T1__1580-1580-141083-0006__HSIMV3__237-237-126133-0001__SIRm3,1580,237,20,0.0,0.0,0.0,0.0,0.0,32.90119386417776,12.900959166516296
1580-141083-0006_7176-88083-0024__T2__7176-7176-88083-0024__HSIMV3__61-61-70968-0049__SIRm3,7176,61,15,0.4,0.3333333333333333,0.2,0.0,0.0,10.27838794118244,5.80705833081149
260-123286-0005_237-126133-0000__T1__260-260-123286-0005__HSIMV3__672-672-122797-0046__SIRm3,260,672,8,0.125,0.0,0.0,0.0,0.0,30.744023757078125,11.919436663207335
260-123286-0005_237-126133-0000__T2__237-237-126133-0000__HSIMV3__5683-5683-32866-0009__SIRm3,237,5683,25,0.08,0.28,0.08,0.08,0.04,19.384286068500415,6.277918912458597
4446-2271-0021_4970-29093-0013__T1__4446-4446-2271-0021__HSIMV3__1284-1284-1180-0027__SIRm3,4446,1284,5,0.0,0.0,0.0,0.0,0.0,33.841461216664186,13.096261911762564
4446-2271-0021_4970-29093-0013__T2__4970-4970-29093-0013__HSIMV3__6829-6829-68771-0025__SIRm3,4970,6829,14,0.0,0.07142857142857142,0.0,0.0,0.0,31.15850549443216,11.952536502431276
5105-28233-0005_4446-2275-0013__T1__5105-5105-28233-0005__HSIMV3__1320-1320-122612-0012__SIRm3,5105,1320,19,0.0,0.0,0.0,0.0,0.0,30.717703048285678,11.283106449514454
5105-28233-0005_4446-2275-0013__T2__4446-4446-2275-0013__HSIMV3__1284-1284-1180-0014__SIRm3,4446,1284,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,19.066412127667732,7.33140173316062
1188-133604-0022_1221-135767-0019__T1__1188-1188-133604-0022__HSIMV3__2830-2830-3979-0011__SIRm3,1188,2830,17,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.0,0.0,31.864717291947468,11.313313192511163
1188-133604-0022_1221-135767-0019__T2__1221-1221-135767-0019__HSIMV3__4992-4992-41806-0005__SIRm3,1221,4992,6,0.16666666666666666,0.0,0.0,0.0,0.0,33.38872183971944,14.25202170590748
1221-135766-0014_3729-6852-0011__T1__1221-1221-135766-0014__HSIMV3__4992-4992-41797-0019__SIRm3,1221,4992,8,0.0,0.0,0.0,0.0,0.0,33.77182224177675,14.103386144940878
1221-135766-0014_3729-6852-0011__T2__3729-3729-6852-0011__HSIMV3__4507-4507-16021-0035__SIRm3,3729,4507,13,0.0,0.15384615384615385,0.0,0.0,0.0,32.66289213159259,14.192244755996708
1221-135766-0013_1284-1181-0013__T1__1221-1221-135766-0013__HSIMV3__4992-4992-41806-0005__SIRm3,1221,4992,6,0.0,0.0,0.0,0.0,0.0,29.558747479001422,11.641980660072807
1221-135766-0013_1284-1181-0013__T2__1284-1284-1181-0013__HSIMV3__4446-4446-2271-0004__SIRm3,1284,4446,23,0.0,0.0,0.0,0.0,0.0,29.107714944381552,10.407792392187336
121-123852-0004_7176-92135-0002__T1__121-121-123852-0004__HSIMV3__237-237-126133-0000__SIRm3,121,237,25,0.08,0.12,0.04,0.0,0.0,33.35156491517275,12.10052660006638
121-123852-0004_7176-92135-0002__T2__7176-7176-92135-0002__HSIMV3__61-61-70970-0009__SIRm3,7176,61,5,0.0,0.0,0.0,0.0,0.0,21.857964703986415,9.928928154819166
2094-142345-0011_1580-141083-0001__T1__2094-2094-142345-0011__HSIMV3__3729-3729-6852-0042__SIRm3,2094,3729,29,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.0,0.0,41.14123648086717,15.545343023182731
2094-142345-0011_1580-141083-0001__T2__1580-1580-141083-0001__HSIMV3__237-237-126133-0024__SIRm3,1580,237,18,0.0,0.05555555555555555,0.0,0.0,0.0,34.31458442476496,11.80921873716393
61-70970-0000_121-121726-0002__T1__61-61-70970-0000__HSIMV3__8230-8230-279154-0011__SIRm3,61,8230,11,0.0,0.0,0.0,0.0,0.0,31.25048950356501,12.533027030615344
61-70970-0000_121-121726-0002__T2__121-121-121726-0002__HSIMV3__237-237-134500-0024__SIRm3,121,237,7,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,-2.761065927239111,0.1614325871143229
7021-79730-0004_2830-3980-0009__T1__7021-7021-79730-0004__HSIMV3__5105-5105-28240-0001__SIRm3,7021,5105,31,0.12903225806451613,0.3225806451612903,0.0967741935483871,0.0,0.0,32.41255742965281,11.595500674322054
7021-79730-0004_2830-3980-0009__T2__2830-2830-3980-0009__HSIMV3__1188-1188-133604-0031__SIRm3,2830,1188,6,0.0,0.0,0.0,0.0,0.0,30.91972515841157,14.674952766205234
61-70970-0028_2300-131720-0013__T1__61-61-70970-0028__HSIMV3__8230-8230-279154-0021__SIRm3,61,8230,12,0.0,0.0,0.0,0.0,0.0,24.014819692919527,10.429256609688156
61-70970-0028_2300-131720-0013__T2__2300-2300-131720-0013__HSIMV3__61-61-70970-0004__SIRm3,2300,61,20,0.0,0.0,0.0,0.0,0.0,29.31348420728578,11.17571905126432
7021-85628-0018_4507-16021-0039__T1__7021-7021-85628-0018__HSIMV3__5105-5105-28240-0024__SIRm3,7021,5105,15,0.0,0.13333333333333333,0.0,0.0,0.0,41.26253854932803,15.30971060784922
7021-85628-0018_4507-16021-0039__T2__4507-4507-16021-0039__HSIMV3__3729-3729-6852-0042__SIRm3,4507,3729,29,0.034482758620689655,0.0,0.0,0.0,0.0,31.713699137579724,12.53034193594667
1580-141083-0041_8463-294828-0011__T1__1580-1580-141083-0041__HSIMV3__237-237-126133-0025__SIRm3,1580,237,6,0.0,0.0,0.0,0.0,0.0,32.79956155819472,12.1910648587805
1580-141083-0041_8463-294828-0011__T2__8463-8463-294828-0011__HSIMV3__4992-4992-41806-0005__SIRm3,8463,4992,6,0.0,0.0,0.0,0.0,0.0,36.804817984593576,13.898562041838142
1580-141083-0038_4077-13754-0009__T1__1580-1580-141083-0038__HSIMV3__237-237-126133-0014__SIRm3,1580,237,12,0.0,0.08333333333333333,0.0,0.0,0.0,24.66802442846532,10.376923083445972
1580-141083-0038_4077-13754-0009__T2__4077-4077-13754-0009__HSIMV3__8455-8455-210777-0013__SIRm3,4077,8455,13,0.0,0.0,0.0,0.0,0.0,33.053361212169754,11.553695871842296
5639-40744-0033_4446-2273-0035__T1__5639-5639-40744-0033__HSIMV3__1089-1089-134686-0017__SIRm3,5639,1089,16,0.0,0.0,0.0,0.0,0.0,33.58730014279238,13.53221235341408
5639-40744-0033_4446-2273-0035__T2__4446-4446-2273-0035__HSIMV3__1284-1284-1180-0028__SIRm3,4446,1284,11,0.09090909090909091,0.0,0.0,0.0,0.0,39.83200608256605,17.74991314347308
4446-2271-0014_3570-5694-0003__T1__4446-4446-2271-0014__HSIMV3__1284-1284-1180-0029__SIRm3,4446,1284,9,1.0,1.0,1.0,1.0,1.0,-15.834990724536059,-6.4285549819716845
4446-2271-0014_3570-5694-0003__T2__3570-3570-5694-0003__HSIMV3__4507-4507-16021-0016__SIRm3,3570,4507,33,0.0,0.0,0.0,0.0,0.0,50.45351135402619,16.340609572579716
1995-1837-0027_4970-29095-0022__T1__1995-1995-1837-0027__HSIMV3__2094-2094-142345-0052__SIRm3,1995,2094,12,0.0,0.25,0.0,0.0,0.0,40.612137630062236,14.183702495617933
1995-1837-0027_4970-29095-0022__T2__4970-4970-29095-0022__HSIMV3__6829-6829-68769-0011__SIRm3,4970,6829,8,0.125,0.0,0.0,0.0,0.0,35.57710763245241,11.087544378629076
4446-2275-0008_2300-131720-0032__T1__4446-4446-2275-0008__HSIMV3__1284-1284-1181-0007__SIRm3,4446,1284,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857143,-21.476928769282274,-8.922651226897713
