key,target_spk,interferer_spk,mix_sisnr,est_sisnr,sisnr_i,est_path
1089-134686-0028_6829-68771-0025__T2__NBASIC__6829,6829,1089,-2.141334,11.250000,13.390000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0028_6829-68771-0025__T2__NBASIC__6829.wav
1089-134686-0031_61-70968-0026__T1__NBASIC__1089,1089,61,-1.196858,7.010000,8.210000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0031_61-70968-0026__T1__NBASIC__1089.wav
1089-134686-0031_61-70968-0026__T2__NBASIC__61,61,1089,1.211235,4.500000,3.290000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0031_61-70968-0026__T2__NBASIC__61.wav
1089-134686-0032_4507-16021-0049__T1__NBASIC__1089,1089,4507,-3.354715,12.380000,15.740000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0032_4507-16021-0049__T1__NBASIC__1089.wav
1089-134686-0032_4507-16021-0049__T2__NBASIC__4507,4507,1089,3.617676,16.170000,12.550000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0032_4507-16021-0049__T2__NBASIC__4507.wav
1089-134686-0033_1320-122612-0001__T1__NBASIC__1089,1089,1320,-4.023248,11.510000,15.530000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0033_1320-122612-0001__T1__NBASIC__1089.wav
1089-134686-0033_1320-122612-0001__T2__NBASIC__1320,1320,1089,4.461171,15.080000,10.620000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0033_1320-122612-0001__T2__NBASIC__1320.wav
1089-134686-0034_5639-40744-0005__T1__NBASIC__1089,1089,5639,-5.616989,8.950000,14.570000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0034_5639-40744-0005__T1__NBASIC__1089.wav
1089-134686-0034_5639-40744-0005__T2__NBASIC__5639,5639,1089,5.486351,13.230000,7.750000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0034_5639-40744-0005__T2__NBASIC__5639.wav
1089-134686-0035_2300-131720-0025__T1__NBASIC__1089,1089,2300,2.387407,10.250000,7.860000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0035_2300-131720-0025__T1__NBASIC__1089.wav
1089-134686-0035_2300-131720-0025__T2__NBASIC__2300,2300,1089,-2.406939,7.390000,9.800000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0035_2300-131720-0025__T2__NBASIC__2300.wav
