case_category,case_rank,key,sisnr_i,ecapa_speaker_mismatch_rate,ecapa_speaker_gap_mean,sb_chunks,sb_gap_enroll_mean,sb_gap_enroll_p10,sb_gap_enroll_min,sb_mismatch_rate_enroll,sb_gap_targetref_mean,sb_gap_targetref_p10,sb_gap_targetref_min,sb_mismatch_rate_targetref,agree_with_ecapa_enroll,agree_with_ecapa_targetref
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,-115.38809656224366,0.9411764705882353,-0.12606586125334604,17,-0.0024455295005128387,-0.002920997084371835,-0.002973914264204125,1.0,-0.0030992828528363186,-0.003644346157440337,-0.004021762917748917,1.0,True,True
waveform_global_failure,2,2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017,-115.38755318725414,0.9411764705882353,-0.12506732718505978,17,-0.002445487416697511,-0.002920949574759102,-0.002974092900875802,1.0,-0.0030992662230614086,-0.003644275722239443,-0.004021882930426601,1.0,True,True
waveform_global_failure,3,7021-79740-0007_8555-284447-0018__T2__8555-8555-284447-0018__SIM__4970-4970-29095-0032,-65.88130628997902,0.8888888888888888,-0.057937227853472696,9,-0.0011797414722967013,-0.0017673611287458036,-0.002169668631075594,1.0,-0.0009782910219100617,-0.0014007687288511094,-0.0016561150219619458,1.0,True,True
waveform_global_failure,4,61-70968-0013_8555-284449-0003__T2__8555-8555-284449-0003__SIM__4970-4970-29095-0029,-62.5584169274936,0.8333333333333334,-0.05075326394271316,6,-0.0003739098633052847,-0.0007952451546883177,-0.0008569359607970561,0.8333333333333334,-0.0009893381701973625,-0.0014200214849901527,-0.0015588407341899924,1.0,True,True
waveform_global_failure,5,8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025,-61.63135893189921,0.16666666666666666,0.025298628149460867,6,-0.0007849832761139819,-0.0014932156200513358,-0.001506388247068391,1.0,-0.001630464822884296,-0.0023177261892261547,-0.0023998017552460116,1.0,False,False
true_local_swap,1,8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014,-56.2882310729261,1.0,-0.12831676023473096,6,-0.0012030502057140031,-0.0018132328624475003,-0.0018670558556032057,1.0,-0.0013521710927079285,-0.001782774889576455,-0.001899838409574084,1.0,True,True
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,-54.49157849201988,1.0,-0.09290942460519472,9,-0.003120926167849425,-0.003986049203530895,-0.004144788319977222,1.0,-0.0023033557074886054,-0.0028317695081474747,-0.002976060398934277,1.0,True,True
true_local_swap,3,4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015,-53.447947283960815,1.0,-0.07794783004846195,6,-0.00038788715463788925,-0.0008403956722026762,-0.001082837559977734,0.8333333333333334,-0.0037554104710180356,-0.004317790183495929,-0.004485547452861116,1.0,True,True
true_local_swap,4,8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029,-51.30506325724568,1.0,-0.056229627298348905,6,-0.0003875192274262103,-0.0006903703971830599,-0.0008104439504790228,0.8333333333333334,-0.00015739562898605305,-0.0007342096318901925,-0.0008862610571169771,0.6666666666666666,True,True
true_local_swap,5,3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017,-51.2836867190805,1.0,-0.0653854618689744,5,-0.0017737746358652995,-0.0020730376320693853,-0.002080142456413525,1.0,-0.0006655692984870898,-0.0011539697416301342,-0.0012770890934158396,1.0,True,True
local_identity_ambiguity,1,1284-1180-0031_8230-279154-0021__T1__1284-1284-1180-0031__SIM__4446-4446-2275-0031,20.60857053792841,1.0,-0.057292054564539494,5,0.0005649332156577813,0.0002770785612391968,0.0002508763502537814,0.0,0.002141428354721131,0.0019496563762716468,0.0018814209801184534,0.0,False,False
local_identity_ambiguity,2,4077-13751-0006_8555-292519-0011__T2__8555-8555-292519-0011__SIM__4970-4970-29095-0003,22.011688628228303,1.0,-0.05789076718262178,5,0.001250517343306301,0.0007798433147863992,0.0006079673645495998,0.0,0.0023175715936632367,0.001994264085938702,0.001776039564851506,0.0,False,False
local_identity_ambiguity,3,5683-32865-0015_5639-40744-0015__T1__5683-5683-32865-0015__SIM__237-237-134500-0027,20.300114619809307,1.0,-0.08419016657909056,5,-1.7940994984400048e-05,-0.000946247558742308,-0.001533925502616218,0.4,0.0018691298449322823,0.0013057228770299912,0.0009751316546813271,0.0,False,False
local_identity_ambiguity,4,2094-142345-0058_6930-76324-0008__T1__2094-2094-142345-0058__SIM__1995-1995-1837-0020,21.679655972426,1.0,-0.02493985333600334,5,0.0029179812316073805,0.002491247689177456,0.0023779273974910975,0.0,0.003972720927023809,0.003689110126229722,0.00359112005683071,0.0,False,False
local_identity_ambiguity,5,1995-1837-0011_1580-141084-0009__T1__1995-1995-1837-0011__SIM__2094-2094-142345-0049,22.216493199399796,1.0,-0.062162487399012964,5,0.0011412140178547192,0.0006583806640217294,0.00044101445869104694,0.0,0.0005562186310192451,0.00013443230879142123,-0.00012153387551028239,0.2,False,False
