case_category,case_rank,key,chunk_idx,start_sec,end_sec,sb_sim_target_enroll,sb_sim_target_ref,sb_sim_interferer,sb_gap_enroll_vs_interferer,sb_gap_targetref_vs_interferer,sb_mismatch_enroll,sb_mismatch_targetref,ecapa_speaker_mismatch_rate,ecapa_speaker_gap_mean,sisnr_i
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,0,0.0,1.0,0.9934921658117485,0.9925268098376132,0.995885113580318,-0.0023929477685694645,-0.003358303742704738,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,1,0.5,1.5,0.9930237333057241,0.9921865274133903,0.9958512583880287,-0.0028275250823045495,-0.003664730974638375,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,2,1.0,2.0,0.9937206307985001,0.9932509470116122,0.9960478345025664,-0.0023272037040662497,-0.002796887490954192,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,3,1.5,2.5,0.9930048386337083,0.9928059387956684,0.9950781265561097,-0.0020732879224014678,-0.0022721877604413576,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,4,2.0,3.0,0.9928856289224924,0.9921448036996572,0.9950880206341681,-0.0022023917116756886,-0.0029432169345109394,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,5,2.5,3.5,0.9922976886831428,0.991249840029598,0.995271602947347,-0.002973914264204125,-0.004021762917748917,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,6,3.0,4.0,0.9924986760003989,0.9917797853740654,0.9954105416533737,-0.0029118656529748543,-0.0036307562793083115,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,7,3.5,4.5,0.9922272960581642,0.9918013622524704,0.9948329726570516,-0.002605676598887441,-0.0030316104045812198,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,8,4.0,5.0,0.9928230444707792,0.9924160648684667,0.9953313866866952,-0.002508342215916004,-0.0029153218182285112,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,9,4.5,5.5,0.9936588803877479,0.9932253170179267,0.995533804056304,-0.0018749236685561277,-0.0023084870383772715,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,10,5.0,6.0,0.9941534793717226,0.9933573408917994,0.9963217176205893,-0.002168238248866694,-0.002964376728789908,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,11,5.5,6.5,0.9936506545684831,0.9929188891597345,0.996456126099881,-0.002805471531397874,-0.0035372369401465154,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,12,6.0,7.0,0.9924684564461022,0.9918514897517482,0.9954031506775695,-0.0029346942314673052,-0.003551660925821265,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,13,6.5,7.5,0.9934358990248521,0.9927603408172531,0.9956530130843704,-0.002217114059518299,-0.0028926722671173133,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,14,7.0,8.0,0.9924907481352164,0.9916209385184284,0.994976679153318,-0.0024859310181015726,-0.003355740634889637,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,15,7.5,8.5,0.9924253026841479,0.9920143892232423,0.994874397884342,-0.0024490952001940958,-0.0028600086610997,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,16,8.0,9.0,0.9920304219204086,0.9912629535711658,0.993845800550025,-0.0018153786296164487,-0.0025828469788592434,True,True,0.9411764705882353,-0.12606586125334604,-115.38809656224366
waveform_global_failure,2,2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017,0,0.0,1.0,0.9934922854089325,0.992526988206101,0.9958852330348712,-0.0023929476259386684,-0.0033582448287702293,True,True,0.9411764705882353,-0.12506732718505978,-115.38755318725414
waveform_global_failure,2,2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017,1,0.5,1.5,0.9930238525150114,0.9921865860865968,0.9958513179926722,-0.0028274654776608843,-0.0036647319060754135,True,True,0.9411764705882353,-0.12506732718505978,-115.38755318725414
waveform_global_failure,2,2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017,2,1.0,2.0,0.993720690028868,0.9932510650140833,0.9960479534762936,-0.0023272634474256204,-0.0027968884622102674,True,True,0.9411764705882353,-0.12506732718505978,-115.38755318725414
waveform_global_failure,2,2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017,3,1.5,2.5,0.9930048982383518,0.9928059379380708,0.9950781265561097,-0.0020732283177579136,-0.002272188618038906,True,True,0.9411764705882353,-0.12506732718505978,-115.38755318725414
waveform_global_failure,2,2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017,4,2.0,3.0,0.9928858077364339,0.9921449815771803,0.9950880802388152,-0.002202272502381364,-0.002943098661634891,True,True,0.9411764705882353,-0.12506732718505978,-115.38755318725414
waveform_global_failure,2,2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017,5,2.5,3.5,0.992297689142236,0.9912498991126852,0.9952717820431118,-0.002974092900875802,-0.004021882930426601,True,True,0.9411764705882353,-0.12506732718505978,-115.38755318725414
