name,n,rate,speaker_similarity_mean,speaker_similarity_median,top5_pair_share,top10_pair_share
waveform_global_failure,323,0.05383333333333333,0.45597209290085194,0.4783195853233337,0.7461300309597523,0.9721362229102167
confirmed_true_swap_any,274,0.04566666666666667,0.4501016497829535,0.4783195853233337,0.7372262773722628,0.9525547445255474
confirmed_true_swap_rate_gt_0.2,222,0.037,0.44254666848762614,0.4783195853233337,0.8018018018018018,0.972972972972973
confirmed_identity_any,1451,0.24183333333333334,0.44222064762999486,0.4268406331539154,0.30323914541695385,0.518263266712612
confirmed_identity_rate_gt_0.2,654,0.109,0.44170630976147607,0.4268406331539154,0.44648318042813456,0.6697247706422018
single_ecapa_only_any,3309,0.5515,0.45121371013839356,0.4516007602214813,0.21698398307645814,0.3919613176186159
