key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1188-133604-0011_4970-29095-0008__T2__4970-4970-29095-0008__HSIMV2__6829-6829-68769-0000__SIRm3,4970,1188,5,0.0,0.2,0.0,0.0,0.0,52.53692646898516,20.12992565073207
1188-133604-0012_5105-28241-0016__T1__1188-1188-133604-0012__HSIMV2__2830-2830-3979-0010__SIRm3,1188,5105,5,0.0,0.0,0.0,0.0,0.0,45.67916488392912,18.787936274571464
1188-133604-0012_5105-28241-0016__T2__5105-5105-28241-0016__HSIMV2__1320-1320-122617-0012__SIRm3,5105,1188,11,0.0,0.0,0.0,0.0,0.0,56.308142356340085,20.17705222553667
1188-133604-0013_2830-3980-0004__T1__1188-1188-133604-0013__HSIMV2__2830-2830-3980-0053__SIRm3,1188,2830,5,0.0,0.0,0.0,0.0,0.0,47.642430431752445,17.115001183835695
1188-133604-0013_2830-3980-0004__T2__2830-2830-3980-0004__HSIMV2__1188-1188-133604-0027__SIRm3,2830,1188,6,0.0,0.0,0.0,0.0,0.0,44.50033338031718,19.02282248893082
1188-133604-0014_4992-23283-0016__T1__1188-1188-133604-0014__HSIMV2__2830-2830-3980-0052__SIRm3,1188,4992,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714,2.6660140879862557,0.2262705953064663
1188-133604-0014_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV2__4446-4446-2273-0005__SIRm3,4992,1188,7,0.0,0.0,0.0,0.0,0.0,49.99533983943301,16.295880037216097
1188-133604-0016_7176-88083-0018__T1__1188-1188-133604-0016__HSIMV2__2830-2830-3980-0037__SIRm3,1188,7176,11,0.0,0.0,0.0,0.0,0.0,47.56428137983815,16.178653108616825
1188-133604-0016_7176-88083-0018__T2__7176-7176-88083-0018__HSIMV2__61-61-70970-0033__SIRm3,7176,1188,5,0.2,0.0,0.0,0.0,0.0,20.45785792206909,10.831851302000924
1188-133604-0017_5142-33396-0001__T1__1188-1188-133604-0017__HSIMV2__2830-2830-3980-0006__SIRm3,1188,5142,8,0.0,0.0,0.0,0.0,0.0,54.87955425513374,18.88137972972761
1188-133604-0017_5142-33396-0001__T2__5142-5142-33396-0001__HSIMV2__4970-4970-29093-0022__SIRm3,5142,1188,9,0.0,0.0,0.0,0.0,0.0,46.79258683927883,20.076489942079537
1188-133604-0017_6930-81414-0007__T1__1188-1188-133604-0017__HSIMV2__2830-2830-3980-0004__SIRm3,1188,6930,6,0.0,0.0,0.0,0.0,0.0,53.01877678930095,18.95239619536538
1188-133604-0017_6930-81414-0007__T2__6930-6930-81414-0007__HSIMV2__260-260-123286-0001__SIRm3,6930,1188,5,0.0,0.0,0.0,0.0,0.0,44.23181164441504,18.4486824429542
1188-133604-0018_1089-134686-0026__T1__1188-1188-133604-0018__HSIMV2__2830-2830-3980-0074__SIRm3,1188,1089,10,0.0,0.0,0.0,0.0,0.0,38.49572297280301,11.244582871268587
1188-133604-0018_1089-134686-0026__T2__1089-1089-134686-0026__HSIMV2__8230-8230-279154-0034__SIRm3,1089,1188,7,0.0,0.0,0.0,0.0,0.0,53.117322807052055,19.016110414150035
1188-133604-0019_7127-75947-0006__T1__1188-1188-133604-0019__HSIMV2__2830-2830-3980-0073__SIRm3,1188,7127,24,0.041666666666666664,0.0,0.0,0.0,0.0,39.807937682393295,15.818776674007944
1188-133604-0019_7127-75947-0006__T2__7127-7127-75947-0006__HSIMV2__8455-8455-210777-0033__SIRm3,7127,1188,5,0.2,0.0,0.0,0.0,0.0,53.63132797419712,19.2871407504618
1188-133604-0019_8224-274384-0008__T1__1188-1188-133604-0019__HSIMV2__2830-2830-3980-0041__SIRm3,1188,8224,8,0.0,0.0,0.0,0.0,0.0,51.610056111834915,18.495113424596987
1188-133604-0019_8224-274384-0008__T2__8224-8224-274384-0008__HSIMV2__8455-8455-210777-0037__SIRm3,8224,1188,8,0.0,0.0,0.0,0.0,0.0,49.534828249818624,17.87826585500228
1188-133604-0020_1320-122617-0025__T1__1188-1188-133604-0020__HSIMV2__2830-2830-3980-0017__SIRm3,1188,1320,6,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,7.440158000171768,2.118589946297145
1188-133604-0020_1320-122617-0025__T2__1320-1320-122617-0025__HSIMV2__5105-5105-28241-0017__SIRm3,1320,1188,11,0.0,0.0,0.0,0.0,0.0,70.85262069546428,23.52664968541657
1188-133604-0020_3729-6852-0044__T1__1188-1188-133604-0020__HSIMV2__2830-2830-3980-0074__SIRm3,1188,3729,10,0.0,0.0,0.0,0.0,0.0,52.630390745663036,18.653188362020018
1188-133604-0020_3729-6852-0044__T2__3729-3729-6852-0044__HSIMV2__4507-4507-16021-0035__SIRm3,3729,1188,12,0.0,0.0,0.0,0.0,0.0,47.650841948940574,18.46711915409207
1188-133604-0022_1221-135767-0019__T1__1188-1188-133604-0022__HSIMV2__2830-2830-3980-0069__SIRm3,1188,1221,10,0.0,0.0,0.0,0.0,0.0,47.9931988838995,19.513567357331265
1188-133604-0022_1221-135767-0019__T2__1221-1221-135767-0019__HSIMV2__4992-4992-41806-0011__SIRm3,1221,1188,6,0.0,0.0,0.0,0.0,0.0,59.41077645960473,22.981710806735872
1188-133604-0022_1320-122617-0034__T1__1188-1188-133604-0022__HSIMV2__2830-2830-3980-0076__SIRm3,1188,1320,8,0.0,0.0,0.0,0.0,0.0,49.416595270061975,19.52096346439776
1188-133604-0022_1320-122617-0034__T2__1320-1320-122617-0034__HSIMV2__5105-5105-28240-0015__SIRm3,1320,1188,16,0.25,0.0,0.0,0.0,0.0,48.78376260434343,18.123554874534168
1188-133604-0025_121-121726-0010__T1__1188-1188-133604-0025__HSIMV2__2830-2830-3980-0000__SIRm3,1188,121,6,0.0,0.16666666666666666,0.0,0.0,0.0,56.72168421707837,18.17053416716159
1188-133604-0025_121-121726-0010__T2__121-121-121726-0010__HSIMV2__237-237-134500-0024__SIRm3,121,1188,6,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,32.92012016978874,17.774893444730445
1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV2__2830-2830-3980-0009__SIRm3,1188,4992,6,0.0,0.0,0.0,0.0,0.0,53.94632899863746,19.86755776957824
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV2__4446-4446-2275-0021__SIRm3,4992,1188,7,0.0,0.0,0.0,0.0,0.0,51.25900999842645,17.32361580614068
1188-133604-0025_6829-68769-0005__T1__1188-1188-133604-0025__HSIMV2__2830-2830-3980-0004__SIRm3,1188,6829,6,0.0,0.16666666666666666,0.0,0.0,0.0,39.0498112601731,17.374043861702393
