condition,num_utterances,num_chunks,speaker_mismatch_1s,speaker_confirmed_drift_1s,waveform_prefers_interferer_1s,any_speaker_mismatch_case,any_confirmed_drift_case,persistent_speaker_mismatch_case_ge20,persistent_confirmed_drift_case_ge20,mean_target_interferer_si_sdr_gap
tfmap_context_hsimv2_sir0db,6000,52793,0.049438372511507206,0.046256132441801,0.05057488682211657,0.0735,0.0595,0.064,0.056,46.301025131137536
tfmap_context_hsimv2_sirm3db,6000,52716,0.048808710827832155,0.04548903558691858,0.04968131117687229,0.07633333333333334,0.059166666666666666,0.06266666666666666,0.05583333333333333,44.76886879869515
tfmap_context_hsimv3_sir0db,6000,69569,0.04941856286564418,0.045580646552343715,0.05026664175135477,0.08333333333333333,0.0625,0.06116666666666667,0.0565,45.7105728709456
tfmap_context_hsimv3_sirm3db,6000,69569,0.048124883209475486,0.04489068406905374,0.04857048397993359,0.08266666666666667,0.06233333333333333,0.059833333333333336,0.057166666666666664,44.214513604450424
tfmap_context_hsimv3_sirm5db,6000,69570,0.05000718700589334,0.04593934167026017,0.04938910449906569,0.08983333333333333,0.06166666666666667,0.060333333333333336,0.056666666666666664,43.057579808898076
