key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0008_672-122797-0007__T2__SCV3FIX__VOICE-672_CONTENT-1089-1089-134686-0008,672,1089,11,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,53.98540046764287,19.84437327801492
1089-134686-0008_8230-279154-0012__T1__SCV3FIX__VOICE-1089_CONTENT-8230-8230-279154-0012,1089,8230,6,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,50.759587905166875,21.57207320574693
1089-134686-0008_8230-279154-0012__T2__SCV3FIX__VOICE-8230_CONTENT-1089-1089-134686-0008,8230,1089,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.63112801440602,21.940959132119705
1089-134686-0010_4507-16021-0023__T1__SCV3FIX__VOICE-1089_CONTENT-4507-4507-16021-0023,1089,4507,7,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,56.78671041863412,22.60745704851857
1089-134686-0010_4507-16021-0023__T2__SCV3FIX__VOICE-4507_CONTENT-1089-1089-134686-0010,4507,1089,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.4228123056697,25.97119700723526
1089-134686-0011_1320-122612-0004__T1__SCV3FIX__VOICE-1089_CONTENT-1320-1320-122612-0004,1089,1320,11,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,56.15976778602858,25.035468267092583
1089-134686-0013_3570-5695-0000__T1__SCV3FIX__VOICE-1089_CONTENT-3570-3570-5695-0000,1089,3570,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.16062475681208,23.66374585545568
1089-134686-0013_3570-5695-0000__T2__SCV3FIX__VOICE-3570_CONTENT-1089-1089-134686-0013,3570,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.86036804050053,22.38622355253044
1089-134686-0013_7127-75946-0007__T1__SCV3FIX__VOICE-1089_CONTENT-7127-7127-75946-0007,1089,7127,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.128126765239706,11.403153719594602
1089-134686-0013_7127-75946-0007__T2__SCV3FIX__VOICE-7127_CONTENT-1089-1089-134686-0013,7127,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.311383353600164,17.344153570498538
