system,infer_n,infer_sisnr_est_mean,infer_sisnr_est_median,infer_sisnr_est_p10,infer_sisnr_est_p90,infer_sisnr_est_lt0_rate,infer_sisnr_i_mean,infer_sisnr_i_median,infer_sisnr_i_p10,infer_sisnr_i_p90,infer_sisnr_i_lt0_rate,infer_si_snr_est_mean,infer_si_snr_est_median,infer_si_snr_est_p10,infer_si_snr_est_p90,infer_si_snr_est_lt0_rate,infer_si_snri_mean,infer_si_snri_median,infer_si_snri_p10,infer_si_snri_p90,infer_si_snri_lt0_rate,infer_si_sdr_est_mean,infer_si_sdr_est_median,infer_si_sdr_est_p10,infer_si_sdr_est_p90,infer_si_sdr_est_lt0_rate,infer_si_sdri_mean,infer_si_sdri_median,infer_si_sdri_p10,infer_si_sdri_p90,infer_si_sdri_lt0_rate,local_num_utterances,local_num_chunks
bsrnn_context_scv3_quality,5256,-1.9164003044140032,4.08,-24.335,14.265,0.4421613394216134,-1.9657248858447485,4.02,-24.41,13.89,0.4434931506849315,-1.9164003044140032,4.08,-24.335,14.265,0.4421613394216134,-1.9657248858447485,4.02,-24.41,13.89,0.4434931506849315,-1.9164003044140032,4.08,-24.335,14.265,0.4421613394216134,-1.9657248858447485,4.02,-24.41,13.89,0.4434931506849315,5256,43955
bsrnn_tfmap_scv3_quality,5256,-1.2563470319634702,5.235,-23.88,14.425,0.4290334855403349,-1.3057267884322679,5.415,-24.31,14.32,0.4284627092846271,-1.2563470319634702,5.235,-23.88,14.425,0.4290334855403349,-1.3057267884322679,5.415,-24.31,14.32,0.4284627092846271,-1.2563470319634702,5.235,-23.88,14.425,0.4290334855403349,-1.3057267884322679,5.415,-24.31,14.32,0.4284627092846271,5256,43955
bsrnn_usef_scv3_quality,5256,-0.1586872146118721,4.16,-22.02,14.11,0.4124809741248097,-0.20809170471841706,4.15,-21.585,13.67,0.4111491628614916,-0.1586872146118721,4.16,-22.02,14.11,0.4124809741248097,-0.20809170471841706,4.15,-21.585,13.67,0.4111491628614916,-0.1586872146118721,4.16,-22.02,14.11,0.4124809741248097,-0.20809170471841706,4.15,-21.585,13.67,0.4111491628614916,5256,43955
pretrained_tfmap_context_scv3_quality,5256,15.314698438513634,17.210923656109365,12.40619104292181,20.780693297060893,0.042427701674277014,15.265340152059062,17.182607948666096,12.443877730620411,20.740271403721867,0.04356925418569254,15.314698438513634,17.210923656109365,12.40619104292181,20.780693297060893,0.042427701674277014,15.265340152059062,17.182607948666096,12.443877730620411,20.740271403721867,0.04356925418569254,15.314698438513634,17.210923656109365,12.40619104292181,20.780693297060893,0.042427701674277014,15.265340152059062,17.182607948666096,12.443877730620411,20.740271403721867,0.04356925418569254,5256,43955
pretrained_usef_tfgridnet_scv3_quality,5256,12.281347376174855,18.211268738509826,-15.99188891134097,22.98934888020291,0.12595129375951294,12.243418074134931,18.26997364142306,-16.63859541652142,22.975805650290724,0.12576103500761035,,,,,,,,,,,,,,,,,,,,,5256,43955
