condition,n,unique_keys,mixture_si_snr_mean,mixture_si_snr_median,mixture_si_snr_p10,mixture_si_snr_p25,mixture_si_snr_p75,output_si_snr_mean,output_si_snr_median,output_si_snr_p10,output_si_snr_p25,output_si_snr_p75,si_snri_mean,si_snri_median,si_snri_p10,si_snri_p25,si_snri_p75,si_snri_lt0_rate,output_si_snr_lt0_rate
normal/easy reference,6000,6000,0.0005033302710186113,-0.0056869709516532,-4.846852017211099,-2.609654625049345,2.6238318287644566,15.897003493524274,18.72253865300212,11.802012936031014,15.940467974909993,21.165041216077043,15.89650016325325,18.694441717511424,12.030783685713837,15.918395941071532,21.128936028338273,0.051666666666666666,0.052
"hard similar-speaker v2, 0 dB",6000,6000,-0.07000000815678277,-0.0391766931846029,-0.5650272912519373,-0.1998477393601261,0.10139132685592331,15.8386739134846,18.77272677704157,11.617843614566441,16.25700637531108,20.967428860980938,15.908673921641384,18.78371136373498,11.72015469794508,16.357372369875467,21.00628328953857,0.05466666666666667,0.05483333333333333
"hard similar-speaker v2, -3 dB",6000,6000,-3.0709032332712245,-3.039200684678651,-3.5601764473338733,-3.228864332728767,-2.8845631027474097,14.758718725772434,17.249713594040955,11.419000494430714,14.642568075234577,19.483756639990506,17.829621959043656,20.296787898182814,14.4606904322963,17.763022610465526,22.528079559873177,0.04633333333333333,0.0505
"hard similar-speaker v3, 0 dB",6000,6000,-0.10904775523743918,-0.0392288600760357,-0.5600147049027792,-0.1870113866676046,0.07106265028308022,15.834774538858095,18.499926262509042,11.81644959275863,16.011677403233325,20.891845357166897,15.943822294095536,18.58680594399751,11.961614195548403,16.131809304515876,20.94871295103006,0.05216666666666667,0.0515
"hard similar-speaker v3, -3 dB",6000,6000,-3.109095031963743,-3.0445121190408417,-3.5980502951372384,-3.2120500089278075,-2.909811835597873,14.78533492665939,17.04259228651233,11.36744686154832,14.559894823995341,19.35359570292401,17.894429958623135,20.11539568217666,14.302119123153215,17.788940019764333,22.446829923863774,0.043833333333333335,0.0475
"hard similar-speaker v3, -5 dB",6000,6000,-5.109282492131712,-5.0514250940920045,-5.59782555960648,-5.239721121780212,-4.898731267468529,13.99499930421919,15.970437267103739,10.492347089857683,13.63867126756164,18.330708147018655,19.104281796350904,21.083287849312207,15.6058699600438,18.806401254828113,23.411236950906794,0.0405,0.0445
