condition,n,unique_keys,sisnri_mean,sisnri_median,sisnri_p10,sisnri_p25,sisnri_p75,sisnri_lt0
v2 0dB,6000,6000,15.908673921641384,18.78371136373498,11.72015469794508,16.357372369875467,21.00628328953857,0.05466666666666667
v2 -3dB,6000,6000,17.829621959043656,20.296787898182814,14.4606904322963,17.763022610465526,22.528079559873177,0.04633333333333333
v3 0dB,6000,6000,15.943822294095536,18.58680594399751,11.961614195548403,16.131809304515876,20.94871295103006,0.05216666666666667
v3 -3dB,6000,6000,17.894429958623135,20.11539568217666,14.302119123153215,17.788940019764333,22.446829923863774,0.043833333333333335
v3 -5dB,6000,6000,19.104281796350904,21.083287849312207,15.6058699600438,18.806401254828113,23.411236950906794,0.0405
