condition,n,si_snri_mean,si_snri_median,si_snri_lt0,chunk_mv_speaker_mismatch,chunk_confirmed_drift,any_mv_speaker_mismatch_case,any_confirmed_drift_case,persistent_confirmed_drift_case,mean_target_interferer_si_sdr_gap
v1 normal/easy reference,,,,,0.049931466614450755,0.03875073428627374,0.12366666666666666,0.051,0.049666666666666665,49.56953294224486
v2 0dB,6000.0,15.908673921641384,18.78371136373498,0.05466666666666667,0.06026151222285389,0.04062914534773546,0.18433333333333332,0.0565,0.0535,46.28280253530473
v2 -3dB,6000.0,17.829621959043656,20.296787898182814,0.04633333333333333,0.05615013852518122,0.035447265550874796,0.18316666666666667,0.050333333333333334,0.04616666666666667,46.282588024668975
v3 0dB,6000.0,15.943822294095536,18.58680594399751,0.05216666666666667,0.06214145015887622,0.038475363402395366,0.22583333333333333,0.05516666666666667,0.0525,46.161912986410236
v3 -3dB,6000.0,17.894429958623135,20.11539568217666,0.043833333333333335,0.056736161035226454,0.03094176851186197,0.22633333333333333,0.04683333333333333,0.044,46.39543697405036
v3 -5dB,6000.0,19.104281796350904,21.083287849312207,0.0405,0.05407775924541324,0.026844769080347386,0.23733333333333334,0.042,0.04033333333333333,46.336389028111256
