key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
8230-279154-0032_61-70968-0008__T2__SCV3FIX__VOICE-61_CONTENT-8230-8230-279154-0032,61,8230,,0.11,6,0.3333333333333333,1.0,0.3333333333333333,0.06746155378720568,-0.2152852969027902,-3.308768959288642,0,0.0,0.0,-1.0
2961-961-0007_6930-76324-0016__T2__SCV3FIX__VOICE-6930_CONTENT-2961-2961-961-0007,6930,2961,,-10.12,16,0.9375,1.0,0.9375,-0.11409637499175053,-0.21882743510014624,-23.760189773737864,1,7.5,7.5,0.5
1580-141084-0010_3570-5696-0002__T1__SCV3FIX__VOICE-1580_CONTENT-3570-3570-5696-0002,1580,3570,,18.31,7,0.0,0.0,0.0,0.1846733879112559,0.11675679358748914,46.70084050194549,0,0.0,0.0,-1.0
5142-33396-0024_121-127105-0000__T2__SCV3FIX__VOICE-121_CONTENT-5142-5142-33396-0024,121,5142,,-18.51,9,0.8888888888888888,1.0,0.8888888888888888,-0.18506442410673507,-0.36141579620414865,-33.84704878518848,1,3.5,3.5,1.0
2094-142345-0058_6930-76324-0008__T2__SCV3FIX__VOICE-6930_CONTENT-2094-2094-142345-0058,6930,2094,,15.41,8,0.125,0.0,0.0,0.1343819985305454,-0.031691433254334545,34.436229087648115,0,0.0,0.0,-1.0
2961-960-0012_6829-68771-0015__T1__SCV3FIX__VOICE-2961_CONTENT-6829-6829-68771-0015,2961,6829,,15.05,8,0.125,0.0,0.0,0.14079484896721284,-0.1506166083125018,31.3970381881726,0,0.0,0.0,-1.0
5683-32865-0013_3570-5694-0001__T1__SCV3FIX__VOICE-5683_CONTENT-3570-3570-5694-0001,5683,3570,,-29.42,9,0.7777777777777778,1.0,0.7777777777777778,-0.2347662071291071,-0.5060902736350632,-45.153812918257906,1,3.0,3.0,0.0
121-127105-0026_5683-32879-0020__T1__SCV3FIX__VOICE-121_CONTENT-5683-5683-32879-0020,121,5683,,-15.51,12,1.0,1.0,1.0,-0.11448319247858528,-0.3076516376482986,-25.767660192014915,1,6.0,6.0,0.0
7021-85628-0022_2300-131720-0014__T2__SCV3FIX__VOICE-2300_CONTENT-7021-7021-85628-0022,2300,7021,,-15.37,6,0.8333333333333334,1.0,0.8333333333333334,-0.1447083684557102,-0.24461062080087037,-34.492157468946615,1,2.5,2.5,0.0
260-123288-0018_3575-170457-0047__T1__SCV3FIX__VOICE-260_CONTENT-3575-3575-170457-0047,260,3575,,13.02,5,0.0,0.0,0.0,0.16691887679840905,0.07891899189467311,35.15871824544318,0,0.0,0.0,-1.0
6829-68769-0051_4446-2275-0026__T1__SCV3FIX__VOICE-6829_CONTENT-4446-4446-2275-0026,6829,4446,,0.58,6,0.5,0.6666666666666666,0.5,-0.07665012231375783,-0.37673896364664783,-4.6473177878872205,0,0.0,0.0,-1.0
8230-279154-0026_2300-131720-0034__T2__SCV3FIX__VOICE-2300_CONTENT-8230-8230-279154-0026,2300,8230,,8.81,16,0.0,0.0,0.0,0.29386305160148785,0.06642696662228742,38.62371554954184,0,0.0,0.0,-1.0
3570-5695-0006_1284-1181-0015__T1__SCV3FIX__VOICE-3570_CONTENT-1284-1284-1181-0015,3570,1284,,11.12,9,0.0,0.0,0.0,0.13187427611758615,0.022204520521070914,26.38216386141633,0,0.0,0.0,-1.0
8455-210777-0058_1188-133604-0039__T1__SCV3FIX__VOICE-8455_CONTENT-1188-1188-133604-0039,8455,1188,,-14.7,12,0.75,0.9166666666666666,0.6666666666666666,-0.08256516284478199,-0.2768318762744971,-15.122253177455706,2,2.5,2.0,1.0
121-127105-0028_4507-16021-0025__T1__SCV3FIX__VOICE-121_CONTENT-4507-4507-16021-0025,121,4507,,15.94,12,0.08333333333333333,0.0,0.0,0.19542855555582753,-0.037761868541901666,49.252831466607695,0,0.0,0.0,-1.0
2830-3979-0007_3575-170457-0045__T1__SCV3FIX__VOICE-2830_CONTENT-3575-3575-170457-0045,2830,3575,,15.98,11,0.18181818181818182,0.0,0.0,0.16566951340289468,-0.0659870492135537,39.89193020015462,0,0.0,0.0,-1.0
8224-274381-0011_1580-141083-0050__T2__SCV3FIX__VOICE-1580_CONTENT-8224-8224-274381-0011,1580,8224,,-10.73,5,0.8,1.0,0.8,-0.0900317802735729,-0.18975901224180713,-20.4644569607427,1,2.0,2.0,0.5
1089-134686-0031_1320-122612-0008__T2__SCV3FIX__VOICE-1320_CONTENT-1089-1089-134686-0031,1320,1089,,5.3,12,0.25,0.3333333333333333,0.08333333333333333,0.030926527173694787,-0.340715238350511,7.541742926869818,1,1.0,1.0,2.0
2094-142345-0032_5639-40744-0012__T2__SCV3FIX__VOICE-5639_CONTENT-2094-2094-142345-0032,5639,2094,,-26.03,5,1.0,1.0,1.0,-0.21019691765087614,-0.4124224661025715,-26.380998979743566,1,2.5,2.5,0.0
4077-13751-0012_2094-142345-0051__T1__SCV3FIX__VOICE-4077_CONTENT-2094-2094-142345-0051,4077,2094,,10.02,9,0.0,0.0,0.0,0.2216284758177673,0.14637556519083772,39.30943195536983,0,0.0,0.0,-1.0
8230-279154-0003_2300-131720-0011__T2__SCV3FIX__VOICE-2300_CONTENT-8230-8230-279154-0003,2300,8230,,3.65,5,0.4,0.0,0.0,0.10015149620790811,-0.06207114333941821,13.365402708087782,1,1.0,1.0,0.0
908-31957-0005_2830-3979-0012__T2__SCV3FIX__VOICE-2830_CONTENT-908-908-31957-0005,2830,908,,15.25,6,0.0,0.0,0.0,0.23883577102854958,0.0970689634936488,37.509024559021775,0,0.0,0.0,-1.0
260-123286-0004_5142-33396-0011__T2__SCV3FIX__VOICE-5142_CONTENT-260-260-123286-0004,5142,260,,-21.76,5,1.0,1.0,1.0,-0.17145100326474888,-0.23865129393710727,-36.98453788412769,1,2.5,2.5,0.0
