condition,n,errors,si_snr_est_mean,si_snr_est_median,si_snr_est_p10,si_snr_est_p90,si_snr_est_lt0_rate,si_snri_mean,si_snri_median,si_snri_p10,si_snri_p90,si_snri_lt0_rate,si_sdr_est_mean,si_sdr_est_median,si_sdr_est_p10,si_sdr_est_p90,si_sdr_est_lt0_rate,si_sdri_mean,si_sdri_median,si_sdri_p10,si_sdri_p90,si_sdri_lt0_rate
tfmap_context_hsimv2_sir0db,6000,0,14.635895376656132,17.20873286093764,11.295246585512123,19.603694797303753,0.05566666666666667,14.637382614878142,17.213610807528838,11.28136083370814,19.600140386000124,0.05566666666666667,14.635895376656132,17.20873286093764,11.295246585512123,19.603694797303753,0.05566666666666667,14.637382614878142,17.213610807528838,11.28136083370814,19.600140386000124,0.05566666666666667
tfmap_context_hsimv2_sirm3db,6000,0,13.223112937584755,15.664998354347475,10.662741132116972,18.07687720333575,0.056,16.2270386712344,18.671265674660027,13.65501177718654,21.05976836132823,0.05216666666666667,13.223112937584755,15.664998354347475,10.662741132116972,18.07687720333575,0.056,16.2270386712344,18.671265674660027,13.65501177718654,21.05976836132823,0.05216666666666667
tfmap_context_hsimv3_sir0db,6000,0,14.334890328972515,16.94307024427136,10.74298248443071,19.267639784645016,0.058666666666666666,14.334985372587878,16.93704237648526,10.66393439814109,19.234238301033397,0.058666666666666666,14.334890328972515,16.94307024427136,10.74298248443071,19.267639784645016,0.058666666666666666,14.334985372587878,16.93704237648526,10.66393439814109,19.234238301033397,0.058666666666666666
tfmap_context_hsimv3_sirm3db,6000,0,13.044385757968058,15.40997053076677,10.751767965908979,17.748710739609244,0.057166666666666664,16.044449801551504,18.40258845451207,13.823620217749173,20.739213148980827,0.05433333333333333,13.044385757968058,15.40997053076677,10.751767965908979,17.748710739609244,0.057166666666666664,16.044449801551504,18.40258845451207,13.823620217749173,20.739213148980827,0.05433333333333333
tfmap_context_hsimv3_sirm5db,6000,0,12.07391912941103,14.387933274475106,10.238776379399411,16.69832339624101,0.058,17.074090020063252,19.371210176673785,15.249378590553043,21.696420842477277,0.05383333333333333,12.07391912941103,14.387933274475106,10.238776379399411,16.69832339624101,0.058,17.074090020063252,19.371210176673785,15.249378590553043,21.696420842477277,0.05383333333333333
tfmap_context_normal_easy,6000,0,15.694906483194243,17.291753631703536,12.704190453326364,20.773461338675773,0.0335,15.694270610578721,17.29001848896415,12.78036640700213,20.774880042434326,0.034833333333333334,15.694906483194243,17.291753631703536,12.704190453326364,20.773461338675773,0.0335,15.694270610578721,17.29001848896415,12.78036640700213,20.774880042434326,0.034833333333333334
