bucket,n,rate,speaker_similarity_mean,ecapa_mismatch_rate_mean,mv_mismatch_rate_targetref_mean,mv_true_swap_rate_targetref_mean
multi_verifier_identity,1177,0.19616666666666666,0.4403859878254828,0.3681620586828623,0.22816186923079754,0.0
no_mismatch,1240,0.20666666666666667,0.45383036838423824,0.0,0.0,0.0
single_or_unconfirmed,3309,0.5515,0.45121371013839356,0.33987695796251477,0.0,0.0
waveform_confirmed_true_swap,274,0.04566666666666667,0.4501016497829535,0.6947638321129881,0.5654929548768106,0.5435274916817706
