cue,n,unique_keys,mixture_si_snr_mean,mixture_si_snr_median,mixture_si_snr_p10,mixture_si_snr_p25,mixture_si_snr_p75,output_si_snr_mean,output_si_snr_median,output_si_snr_p10,output_si_snr_p25,output_si_snr_p75,si_snri_mean,si_snri_median,si_snri_p10,si_snri_p25,si_snri_p75,si_snri_lt0_rate,output_si_snr_lt0_rate
USEF,6000,6000,-0.0011647654483466301,-0.0011098046931907277,-0.10942699033877949,-0.05196060405445363,0.048959932035211325,9.687125935762962,11.03986682187723,4.228251793101269,8.82983151777659,12.525054260821106,9.68829070121131,11.032397487909005,4.251714909991003,8.86215406048281,12.531275439695069,0.0505,0.050333333333333334
TFMap,6000,6000,-0.0011647654483466301,-0.0011098046931907277,-0.10942699033877949,-0.05196060405445363,0.048959932035211325,6.2922120904543455,8.068661230579254,-1.4921589784601361,3.6593667308451137,10.67081460661687,6.293376855902693,8.073836589333725,-1.4642156666785509,3.6729206463366864,10.673832481323249,0.1295,0.12966666666666668
CONTEXT,6000,6000,-0.0011647654483466301,-0.0011098046931907277,-0.10942699033877949,-0.05196060405445363,0.048959932035211325,6.037814949070203,9.092497859362894,-6.2586317720122535,3.203124714952586,12.036051207421195,6.0389797145185495,9.110298615951445,-6.260556539459897,3.234328090473315,12.02146676815184,0.1725,0.17183333333333334
