cue,key,target_spk,mix_path,target_path,est_path,mix_sisnr,est_sisnr,sisnr_i
USEF,2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__SIM__1188-1188-133604-0022,2830,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__SIM__1188-1188-133604-0022.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__SIM__1188-1188-133604-0022.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt2643-2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__SIM__1188-1188-133604-0022-T2830.wav,-0.03434284124888086,12.207382196545735,12.241725037794616
USEF,2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__SIM__4970-4970-29093-0023,8555,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__SIM__4970-4970-29093-0023.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__SIM__4970-4970-29093-0023.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt3795-2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__SIM__4970-4970-29093-0023-T8555.wav,0.018002997295283468,4.625468130587501,4.607465133292218
USEF,5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__SIM__1089-1089-134691-0017,5639,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__SIM__1089-1089-134691-0017.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__SIM__1089-1089-134691-0017.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt253-5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__SIM__1089-1089-134691-0017-T5639.wav,-0.007636546993851184,11.796594020488646,11.804230567482497
USEF,5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__SIM__3729-3729-6852-0027,4507,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__SIM__3729-3729-6852-0027.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__SIM__3729-3729-6852-0027.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt3807-5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__SIM__3729-3729-6852-0027-T4507.wav,0.09395071062275663,11.389523753198356,11.2955730425756
USEF,3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__SIM__4507-4507-16021-0050,3729,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__SIM__4507-4507-16021-0050.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__SIM__4507-4507-16021-0050.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt4649-3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__SIM__4507-4507-16021-0050-T3729.wav,-0.12045331191210193,8.27524515138974,8.395698463301843
USEF,3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017,672,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt4677-3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017-T672.wav,-0.17772502624561123,9.930980455351639,10.10870548159725
USEF,2830-3980-0032_237-134500-0010__T1__2830-2830-3980-0032__SIM__1188-1188-133604-0036,2830,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/2830-3980-0032_237-134500-0010__T1__2830-2830-3980-0032__SIM__1188-1188-133604-0036.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/2830-3980-0032_237-134500-0010__T1__2830-2830-3980-0032__SIM__1188-1188-133604-0036.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt4805-2830-3980-0032_237-134500-0010__T1__2830-2830-3980-0032__SIM__1188-1188-133604-0036-T2830.wav,-0.10857666484846873,8.997460571572976,9.106037236421445
USEF,2830-3980-0032_237-134500-0010__T2__237-237-134500-0010__SIM__5683-5683-32866-0008,237,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/2830-3980-0032_237-134500-0010__T2__237-237-134500-0010__SIM__5683-5683-32866-0008.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/2830-3980-0032_237-134500-0010__T2__237-237-134500-0010__SIM__5683-5683-32866-0008.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt3399-2830-3980-0032_237-134500-0010__T2__237-237-134500-0010__SIM__5683-5683-32866-0008-T237.wav,-0.07338804854430425,2.530681183378371,2.6040692319226753
USEF,2300-131720-0026_4446-2273-0008__T1__2300-2300-131720-0026__SIM__61-61-70968-0027,2300,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/2300-131720-0026_4446-2273-0008__T1__2300-2300-131720-0026__SIM__61-61-70968-0027.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/2300-131720-0026_4446-2273-0008__T1__2300-2300-131720-0026__SIM__61-61-70968-0027.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt951-2300-131720-0026_4446-2273-0008__T1__2300-2300-131720-0026__SIM__61-61-70968-0027-T2300.wav,-0.012774956506892048,9.79861876693407,9.811393723440961
USEF,2300-131720-0026_4446-2273-0008__T2__4446-4446-2273-0008__SIM__1284-1284-134647-0001,4446,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/2300-131720-0026_4446-2273-0008__T2__4446-4446-2273-0008__SIM__1284-1284-134647-0001.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/2300-131720-0026_4446-2273-0008__T2__4446-4446-2273-0008__SIM__1284-1284-134647-0001.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt3721-2300-131720-0026_4446-2273-0008__T2__4446-4446-2273-0008__SIM__1284-1284-134647-0001-T4446.wav,0.023645065173842867,-19.868038309502115,-19.891683374675956
