key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0010_4507-16021-0023__T1__NORMAL__1089,1089,4507,7,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,56.73917086429794,22.66637133648729
1089-134686-0010_4507-16021-0023__T2__NORMAL__4507,4507,1089,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.393724744473616,25.943855743978112
1089-134686-0011_1320-122612-0004__T1__NORMAL__1089,1089,1320,11,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,56.48562170840606,25.06545564552059
1089-134686-0011_1320-122612-0004__T2__NORMAL__1320,1320,1089,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.74372362347878,19.92067717735974
1089-134686-0013_3570-5695-0000__T1__NORMAL__1089,1089,3570,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8766166801157,23.90834347047231
1089-134686-0013_3570-5695-0000__T2__NORMAL__3570,3570,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.71555703516538,22.327217436001128
1089-134686-0013_7127-75946-0007__T1__NORMAL__1089,1089,7127,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.98560083192182,14.106349351161086
1089-134686-0013_7127-75946-0007__T2__NORMAL__7127,7127,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.55034242325763,17.648846945756265
1089-134686-0015_4970-29093-0003__T1__NORMAL__1089,1089,4970,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.29293324773023,21.493427555795336
1089-134686-0015_4970-29093-0003__T2__NORMAL__4970,4970,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.29193557154942,28.362342125821588
1089-134686-0015_5142-33396-0067__T1__NORMAL__1089,1089,5142,10,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,66.2343241434526,23.641841251134267
1089-134686-0015_5142-33396-0067__T2__NORMAL__5142,5142,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.53529699985452,27.619615433695746
1089-134686-0016_672-122797-0004__T1__NORMAL__1089,1089,672,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,50.432968116408816,18.436787739179007
1089-134686-0016_672-122797-0004__T2__NORMAL__672,672,1089,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,52.777345621933385,23.36662285685702
1089-134686-0017_1580-141084-0045__T1__NORMAL__1089,1089,1580,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.860477361378685,22.27992432278551
1089-134686-0017_1580-141084-0045__T2__NORMAL__1580,1580,1089,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.00943295110638,24.52560969352204
1089-134686-0019_5142-33396-0021__T1__NORMAL__1089,1089,5142,6,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,59.87447498270392,20.992426757171444
1089-134686-0019_5142-33396-0021__T2__NORMAL__5142,5142,1089,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.72427421718574,28.227426339668924
1089-134686-0021_4992-41797-0018__T1__NORMAL__1089,1089,4992,12,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,61.05935264726787,21.135975712851085
1089-134686-0021_4992-41797-0018__T2__NORMAL__4992,4992,1089,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.37899165573167,20.31696748984327
1089-134686-0022_1580-141083-0044__T1__NORMAL__1089,1089,1580,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.62614675723209,22.88963002049411
1089-134686-0022_1580-141083-0044__T2__NORMAL__1580,1580,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.23774081325875,22.59297171463576
1089-134686-0022_8455-210777-0023__T1__NORMAL__1089,1089,8455,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.64586038078524,20.169671690184
1089-134686-0022_8455-210777-0023__T2__NORMAL__8455,8455,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.53758897185632,20.888627003713907
1089-134686-0023_6829-68771-0020__T1__NORMAL__1089,1089,6829,8,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,63.79420748309923,21.232052106124105
1089-134686-0023_6829-68771-0020__T2__NORMAL__6829,6829,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29306180816255,22.72364903882672
1089-134686-0024_1995-1836-0013__T1__NORMAL__1089,1089,1995,9,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,53.271666831106295,26.787410999480592
1089-134686-0024_1995-1836-0013__T2__NORMAL__1995,1995,1089,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.561649659334954,23.69759342741088
1089-134686-0024_5683-32865-0016__T1__NORMAL__1089,1089,5683,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.65829432543124,21.128522926229124
1089-134686-0024_5683-32865-0016__T2__NORMAL__5683,5683,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.75521582988805,25.698776509833927
1089-134686-0024_7176-92135-0042__T1__NORMAL__1089,1089,7176,13,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,58.51342530346387,23.967860215568663
1089-134686-0024_7176-92135-0042__T2__NORMAL__7176,7176,1089,13,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,66.34081518412974,16.108080170822085
1089-134686-0025_7127-75947-0035__T1__NORMAL__1089,1089,7127,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.01176213270833,19.021757308141787
1089-134686-0025_7127-75947-0035__T2__NORMAL__7127,7127,1089,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.68438039579923,23.64097162583457
