key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
8230-279154-0032_61-70968-0008__T2__SCV3FIX__VOICE-61_CONTENT-8230-8230-279154-0032,61,8230,,-4.63,6,0.3333333333333333,1.0,0.3333333333333333,0.04584659067828328,-0.21188562684672962,-9.795296891847682,0,0.0,0.0,-1.0
2961-961-0007_6930-76324-0016__T2__SCV3FIX__VOICE-6930_CONTENT-2961-2961-961-0007,6930,2961,,-5.11,16,0.625,0.9375,0.625,-0.058512349816307006,-0.23923688648494612,-13.991957376411635,2,3.0,2.25,3.0
1580-141084-0010_3570-5696-0002__T1__SCV3FIX__VOICE-1580_CONTENT-3570-3570-5696-0002,1580,3570,,17.41,7,0.0,0.0,0.0,0.1905729181331188,0.1067469018112307,49.405916302431066,0,0.0,0.0,-1.0
5142-33396-0024_121-127105-0000__T2__SCV3FIX__VOICE-121_CONTENT-5142-5142-33396-0024,121,5142,,4.5,9,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.02841902926111422,-0.323793225965084,8.767800450727488,1,1.5,1.5,2.0
2094-142345-0058_6930-76324-0008__T2__SCV3FIX__VOICE-6930_CONTENT-2094-2094-142345-0058,6930,2094,,10.81,8,0.125,0.0,0.0,0.11829335244244454,-0.020127929959825375,28.218594165331538,0,0.0,0.0,-1.0
2961-960-0012_6829-68771-0015__T1__SCV3FIX__VOICE-2961_CONTENT-6829-6829-68771-0015,2961,6829,,14.03,8,0.125,0.0,0.0,0.117800730365327,-0.05270783192403816,30.574099221663907,0,0.0,0.0,-1.0
5683-32865-0013_3570-5694-0001__T1__SCV3FIX__VOICE-5683_CONTENT-3570-3570-5694-0001,5683,3570,,10.27,9,0.0,0.0,0.0,0.1638740535198003,0.04103511489813927,42.62142368727207,0,0.0,0.0,-1.0
121-127105-0026_5683-32879-0020__T1__SCV3FIX__VOICE-121_CONTENT-5683-5683-32879-0020,121,5683,,-8.97,12,0.8333333333333334,0.9166666666666666,0.8333333333333334,-0.04390311156577869,-0.20479038738182398,-12.48343802099611,2,3.5,2.5,0.5
7021-85628-0022_2300-131720-0014__T2__SCV3FIX__VOICE-2300_CONTENT-7021-7021-85628-0022,2300,7021,,-11.08,6,0.8333333333333334,1.0,0.8333333333333334,-0.07868286092499154,-0.23207999964578818,-27.912220337196757,1,2.5,2.5,0.0
260-123288-0018_3575-170457-0047__T1__SCV3FIX__VOICE-260_CONTENT-3575-3575-170457-0047,260,3575,,12.47,5,0.0,0.0,0.0,0.1608529710748296,0.07757520982893051,33.831791802417726,0,0.0,0.0,-1.0
6829-68769-0051_4446-2275-0026__T1__SCV3FIX__VOICE-6829_CONTENT-4446-4446-2275-0026,6829,4446,,-2.97,6,0.6666666666666666,1.0,0.6666666666666666,-0.08605860752606281,-0.33920252040678023,-13.100657507905966,1,1.0,1.0,0.0
8230-279154-0026_2300-131720-0034__T2__SCV3FIX__VOICE-2300_CONTENT-8230-8230-279154-0026,2300,8230,,7.65,16,0.0,0.0,0.0,0.24142592494963677,0.07448000010780453,33.8918872642538,0,0.0,0.0,-1.0
3570-5695-0006_1284-1181-0015__T1__SCV3FIX__VOICE-3570_CONTENT-1284-1284-1181-0015,3570,1284,,11.52,9,0.0,0.0,0.0,0.15197326852078816,0.07388733246266765,27.175801421223614,0,0.0,0.0,-1.0
8455-210777-0058_1188-133604-0039__T1__SCV3FIX__VOICE-8455_CONTENT-1188-1188-133604-0039,8455,1188,,-14.69,12,0.75,1.0,0.75,-0.0954907830480614,-0.24492528484268616,-14.68183479805988,2,2.5,2.0,1.0
121-127105-0028_4507-16021-0025__T1__SCV3FIX__VOICE-121_CONTENT-4507-4507-16021-0025,121,4507,,12.83,12,0.08333333333333333,0.0,0.0,0.17441393358513277,-0.0019207597539580012,36.7458405521563,0,0.0,0.0,-1.0
2830-3979-0007_3575-170457-0045__T1__SCV3FIX__VOICE-2830_CONTENT-3575-3575-170457-0045,2830,3575,,14.84,11,0.09090909090909091,0.0,0.0,0.15461484668082645,-0.08237171008352284,33.24571891202085,0,0.0,0.0,-1.0
8224-274381-0011_1580-141083-0050__T2__SCV3FIX__VOICE-1580_CONTENT-8224-8224-274381-0011,1580,8224,,-19.32,5,1.0,1.0,1.0,-0.1421974403127822,-0.18919054020268344,-31.15078023167,1,2.5,2.5,0.0
1089-134686-0031_1320-122612-0008__T2__SCV3FIX__VOICE-1320_CONTENT-1089-1089-134686-0031,1320,1089,,-0.28,12,0.5,0.8333333333333334,0.5,-0.006188355942748451,-0.33807842901521346,-5.583084066607186,1,2.5,2.5,2.0
2094-142345-0032_5639-40744-0012__T2__SCV3FIX__VOICE-5639_CONTENT-2094-2094-142345-0032,5639,2094,,8.0,5,0.0,0.0,0.0,0.2438727602317087,0.1209394247759592,33.812285273843784,0,0.0,0.0,-1.0
4077-13751-0012_2094-142345-0051__T1__SCV3FIX__VOICE-4077_CONTENT-2094-2094-142345-0051,4077,2094,,8.29,9,0.0,0.0,0.0,0.17641627619825404,0.08001287142682767,35.51145026341892,0,0.0,0.0,-1.0
8230-279154-0003_2300-131720-0011__T2__SCV3FIX__VOICE-2300_CONTENT-8230-8230-279154-0003,2300,8230,,-2.61,5,0.8,1.0,0.8,-0.02117180794586031,-0.11644351249504326,-4.229518448057232,1,2.0,2.0,0.0
908-31957-0005_2830-3979-0012__T2__SCV3FIX__VOICE-2830_CONTENT-908-908-31957-0005,2830,908,,-9.79,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,-0.06984461091747753,-0.27702141905238975,-20.05124396855454,1,2.0,2.0,1.0
260-123286-0004_5142-33396-0011__T2__SCV3FIX__VOICE-5142_CONTENT-260-260-123286-0004,5142,260,,-20.59,5,1.0,1.0,1.0,-0.16125939952500118,-0.22671446164103426,-35.958059991996244,1,2.5,2.5,0.0
4970-29093-0009_672-122797-0032__T2__SCV3FIX__VOICE-672_CONTENT-4970-4970-29093-0009,672,4970,,9.21,7,0.14285714285714285,0.0,0.0,0.17596496526202868,-0.16856253814711197,31.159959844399857,0,0.0,0.0,-1.0
4970-29095-0032_1188-133604-0041__T1__SCV3FIX__VOICE-4970_CONTENT-1188-1188-133604-0041,4970,1188,,-26.54,12,0.9166666666666666,1.0,0.9166666666666666,-0.21376816749076197,-0.37570034091113347,-35.055771964241764,2,4.5,2.75,0.0
1320-122617-0022_1284-1180-0025__T1__SCV3FIX__VOICE-1320_CONTENT-1284-1284-1180-0025,1320,1284,,10.71,6,0.16666666666666666,0.0,0.0,0.2444769897127974,-0.06453902452947957,37.62801274068199,0,0.0,0.0,-1.0
